D,probability,D_E,probability_density
-3111,3.890427823945799e-05,-0.9575253924284395,0.126399999999999
-3110,3.9396737457678976e-05,-0.9572176054170514,0.127999999999999
-3109,4.0627885503231446e-05,-0.9569098184056632,0.13199999999999898
-3108,3.551862111418871e-05,-0.9566020313942751,0.11539999999999911
-3107,3.927362265312373e-05,-0.956294244382887,0.127599999999999
-3106,3.76115727916279e-05,-0.9559864573714989,0.12219999999999905
-3105,4.148968913511817e-05,-0.9556786703601108,0.13479999999999892
-3104,3.49646044936901e-05,-0.9553708833487227,0.11359999999999915
-2923,8.679593721144952e-06,-0.899661434287473,0.02819999999999995
-2922,8.371806709756835e-06,-0.8993536472760849,0.027199999999999957
-2921,7.140658664204369e-06,-0.8990458602646968,0.023199999999999995
-2920,7.817790089258225e-06,-0.8987380732533087,0.025399999999999975
-2919,8.064019698368719e-06,-0.8984302862419206,0.026199999999999966
-2918,8.310249307479212e-06,-0.8981224992305324,0.02699999999999996
-2917,8.310249307479212e-06,-0.8978147122191443,0.02699999999999996
-2916,7.017543859649122e-06,-0.8975069252077562,0.022799999999999997
-2915,7.510003077870109e-06,-0.8971991381963681,0.024399999999999984
-2914,7.879347491535848e-06,-0.89689135118498,0.02559999999999997
-2913,7.4484456755924855e-06,-0.8965835641735919,0.024199999999999985
-2912,8.864265927977821e-06,-0.8962757771622037,0.02879999999999994
-2911,8.802708525700199e-06,-0.8959679901508156,0.028599999999999945
-2910,7.940904893813472e-06,-0.8956602031394275,0.025799999999999972
-2909,8.248691905201588e-06,-0.8953524161280394,0.02679999999999996
-2908,7.571560480147732e-06,-0.8950446291166513,0.024599999999999983
-2907,8.741151123422575e-06,-0.8947368421052632,0.028399999999999946
-2906,7.325330871037239e-06,-0.894429055093875,0.023799999999999988
-2905,7.756232686980601e-06,-0.8941212680824869,0.025199999999999972
-2904,9.172052939365937e-06,-0.8938134810710988,0.02979999999999993
-2903,8.679593721144952e-06,-0.8935056940597107,0.02819999999999995
-2902,8.741151123422575e-06,-0.8931979070483226,0.028399999999999946
-2901,8.371806709756835e-06,-0.8928901200369345,0.027199999999999957
-2900,1.692828562634648e-05,-0.8925823330255463,0.05499999999999971
-2899,1.6374269005847867e-05,-0.8922745460141582,0.05319999999999972
-2898,1.7112957833179347e-05,-0.8919667590027701,0.0555999999999997
-2897,1.6004924592182128e-05,-0.891658971991382,0.051999999999999734
-2896,1.6928285626346472e-05,-0.8913511849799939,0.05499999999999969
-2895,1.4465989535241547e-05,-0.8910433979686058,0.046999999999999785
-2894,1.7174515235456966e-05,-0.8907356109572176,0.05579999999999968
-2893,1.6928285626346476e-05,-0.8904278239458295,0.0549999999999997
-2892,1.4958448753462527e-05,-0.8901200369344414,0.048599999999999755
-2891,1.6743613419513605e-05,-0.8898122499230533,0.054399999999999706
-2890,1.6435826408125486e-05,-0.8895044629116651,0.053399999999999705
