D,probability,D_E,probability_density
-82,4.842615012106538e-07,-0.19854721549636803,0.0002
-81,4.842615012106538e-07,-0.19612590799031476,0.0002
-79,9.685230024213075e-07,-0.19128329297820823,0.0004
-78,4.842615012106538e-07,-0.18886198547215496,0.0002
-76,1.937046004842615e-06,-0.18401937046004843,0.0008
-75,2.421307506053269e-06,-0.18159806295399517,0.001
-74,1.4527845036319614e-06,-0.1791767554479419,0.0006000000000000001
-73,9.685230024213075e-07,-0.17675544794188863,0.0004
-72,2.421307506053269e-06,-0.17433414043583534,0.001
-71,9.685230024213075e-07,-0.17191283292978207,0.0004
-70,2.421307506053269e-06,-0.1694915254237288,0.001
-69,9.685230024213075e-07,-0.16707021791767554,0.0004
-68,6.295399515738501e-06,-0.16464891041162227,0.0026000000000000007
-67,5.8111380145278466e-06,-0.162227602905569,0.0024000000000000007
-66,5.326876513317193e-06,-0.15980629539951574,0.0022000000000000006
-65,7.263922518159807e-06,-0.15738498789346247,0.003
-64,9.685230024213074e-06,-0.1549636803874092,0.003999999999999999
-63,1.8886198547215485e-05,-0.15254237288135594,0.007799999999999995
-62,2.518159806295398e-05,-0.15012106537530268,0.010399999999999994
-61,2.9055690072639207e-05,-0.14769975786924938,0.011999999999999993
-60,2.372881355932202e-05,-0.14527845036319612,0.009799999999999994
-59,3.6319612590799006e-05,-0.14285714285714285,0.014999999999999989
-58,5.423728813559322e-05,-0.14043583535108958,0.0224
-57,5.56900726392252e-05,-0.13801452784503632,0.023000000000000007
-56,5.762711864406783e-05,-0.13559322033898305,0.023800000000000016
-55,7.457627118644087e-05,-0.13317191283292978,0.03080000000000008
-54,0.00010944309927360828,-0.13075060532687652,0.04520000000000022
-53,0.00012058111380145344,-0.12832929782082325,0.04980000000000027
-52,0.00014721549636803968,-0.12590799031476999,0.06080000000000039
-51,0.00016416464891041272,-0.1234866828087167,0.06780000000000046
-50,0.0002169491525423745,-0.12106537530266344,0.08960000000000068
-49,0.00025084745762712067,-0.11864406779661017,0.10360000000000083
-48,0.0002997578692493972,-0.1162227602905569,0.12380000000000103
-47,0.0003506053268765163,-0.11380145278450363,0.14480000000000123
-46,0.0004019370460048459,-0.11138014527845036,0.16600000000000137
-45,0.0004886198547215466,-0.1089588377723971,0.20179999999999876
-44,0.0005723970944309852,-0.10653753026634383,0.23639999999999686
-43,0.0006871670702179043,-0.10411622276029056,0.2837999999999945
-42,0.0008111380145278255,-0.1016949152542373,0.33499999999999197
-41,0.0009239709443099138,-0.09927360774818401,0.3815999999999944
-40,0.0010721549636803808,-0.09685230024213075,0.44279999999999725
-39,0.0011869249394673078,-0.09443099273607748,0.49019999999999814
-38,0.0014484261501210695,-0.09200968523002422,0.5982000000000017
-37,0.0016348668280871674,-0.08958837772397095,0.6752000000000001
-36,0.0018847457627118405,-0.08716707021791767,0.7783999999999901
-35,0.0021288135593219904,-0.0847457627118644,0.879199999999982
-34,0.0024368038740919416,-0.08232445520581114,1.006399999999972
-33,0.002748184019370382,-0.07990314769975787,1.1349999999999678
-32,0.003150605326876433,-0.0774818401937046,1.3011999999999668
-31,0.0035796610169490845,-0.07506053268765134,1.478399999999972
-30,0.004036803874091949,-0.07263922518159806,1.6671999999999751
-29,0.004400484261501154,-0.07021791767554479,1.8173999999999766
-28,0.004887167070217858,-0.06779661016949153,2.0183999999999753
-27,0.005476029055689976,-0.06537530266343826,2.26159999999996
-26,0.0061975786924938605,-0.06295399515738499,2.5595999999999646
-25,0.00673123486682805,-0.06053268765133172,2.7799999999999847
-24,0.0075767554479419475,-0.05811138014527845,3.1292000000000244
-23,0.008267312348668334,-0.05569007263922518,3.4144000000000223
-22,0.009030024213075154,-0.053268765133171914,3.7294000000000387
-21,0.009870702179176813,-0.05084745762711865,4.076600000000024
-20,0.01074285714285717,-0.048426150121065374,4.436800000000011
-19,0.011365133171912886,-0.04600484261501211,4.693800000000022
-18,0.012468280871670706,-0.043583535108958835,5.149400000000002
-17,0.013410169491525507,-0.04116222760290557,5.538400000000035
-16,0.014482808716707223,-0.0387409200968523,5.981400000000083
-15,0.015336561743341522,-0.03631961259079903,6.3340000000000485
-14,0.016509927360774883,-0.03389830508474576,6.818600000000027
-13,0.01764939467312354,-0.031476997578692496,7.289200000000021
-12,0.01860581113801436,-0.029055690072639227,7.68419999999993
-11,0.019698305084745543,-0.026634382566585957,8.13539999999991
-10,0.0205782082324452,-0.024213075060532687,8.498799999999868
-9,0.02150605326876472,-0.021791767554479417,8.88199999999983
-8,0.022415980629539554,-0.01937046004842615,9.257799999999836
-7,0.023358353510895383,-0.01694915254237288,9.646999999999794
-6,0.02419031476997532,-0.014527845036319613,9.990599999999807
-5,0.024816949152541862,-0.012106537530266344,10.24939999999979
-4,0.025564648910411093,-0.009685230024213076,10.55819999999978
-3,0.026236803874091538,-0.007263922518159807,10.835799999999805
-2,0.026610653753026264,-0.004842615012106538,10.990199999999847
-1,0.027108474576270938,-0.002421307506053269,11.195799999999897
0,0.027688135593220056,0.0,11.435199999999883
1,0.02720774818401913,0.002421307506053269,11.236799999999901
2,0.026586440677965742,0.004842615012106538,10.98019999999985
3,0.025974818401936658,0.007263922518159807,10.727599999999839
4,0.025304116222759746,0.009685230024213076,10.450599999999776
5,0.024790799031476473,0.012106537530266344,10.238599999999783
6,0.024184503631960765,0.014527845036319613,9.988199999999797
7,0.023332687651331268,0.01694915254237288,9.636399999999814
8,0.02236416464890996,0.01937046004842615,9.236399999999813
9,0.021469733656173932,0.021791767554479417,8.866999999999834
10,0.020566585956416153,0.024213075060532687,8.493999999999872
11,0.019435835351089403,0.026634382566585957,8.026999999999923
12,0.018706053268765007,0.029055690072639227,7.725599999999948
13,0.01739273607748182,0.031476997578692496,7.183199999999991
14,0.01660774818401949,0.03389830508474576,6.859000000000049
15,0.015426150121065501,0.03631961259079903,6.371000000000052
16,0.014506537530266478,0.0387409200968523,5.991200000000055
17,0.013494915254237376,0.04116222760290557,5.573400000000036
18,0.01251234866828091,0.043583535108958835,5.167600000000015
19,0.011560774818401962,0.04600484261501211,4.77460000000001
20,0.010741404358353579,0.048426150121065374,4.436200000000028
21,0.009873123486682912,0.05084745762711865,4.077600000000043
22,0.00904116222760297,0.053268765133171914,3.7340000000000266
23,0.008298305084745857,0.05569007263922518,3.4272000000000387
24,0.007548668280871716,0.05811138014527845,3.1176000000000186
25,0.006711380145278388,0.06053268765133172,2.771799999999974
26,0.0062527845036318835,0.06295399515738499,2.582399999999968
27,0.005507990314769898,0.06537530266343826,2.2747999999999675
28,0.00494963680387403,0.06779661016949153,2.0441999999999743
29,0.00449297820823238,0.07021791767554479,1.855599999999973
30,0.003959322033898239,0.07263922518159806,1.6351999999999727
31,0.003517675544794112,0.07506053268765134,1.4527999999999681
32,0.0031428571428570554,0.0774818401937046,1.2979999999999638
33,0.002780145278450294,0.07990314769975787,1.1481999999999715
34,0.0024721549636803255,0.08232445520581114,1.0209999999999744
35,0.002179176755447901,0.0847457627118644,0.8999999999999831
36,0.0018697336561743093,0.08716707021791767,0.7721999999999898
37,0.0016251815980629545,0.08958837772397095,0.6712000000000002
38,0.001431961259079906,0.09200968523002422,0.5914000000000011
39,0.0012585956416464876,0.09443099273607748,0.5197999999999994
40,0.0010430992736077435,0.09685230024213075,0.4307999999999981
41,0.0009152542372881209,0.09927360774818401,0.37799999999999395
42,0.0007854721549636616,0.1016949152542373,0.32439999999999225
43,0.0006479418886198426,0.10411622276029056,0.267599999999995
44,0.0005762711864406713,0.10653753026634383,0.23799999999999727
45,0.00048232445520580904,0.1089588377723971,0.19919999999999913
46,0.00040968523002421573,0.11138014527845036,0.1692000000000011
47,0.0003225181598062981,0.11380145278450363,0.13320000000000112
48,0.00029249394673123725,0.1162227602905569,0.12080000000000099
49,0.00023292978208232622,0.11864406779661017,0.09620000000000073
50,0.00021065375302663596,0.12106537530266344,0.08700000000000066
51,0.00017288135593220458,0.1234866828087167,0.07140000000000049
52,0.00013898305084745848,0.12590799031476999,0.057400000000000354
53,0.0001234866828087174,0.12832929782082325,0.05100000000000029
54,9.87893462469738e-05,0.13075060532687652,0.04080000000000018
55,7.65133171912835e-05,0.13317191283292978,0.031600000000000086
56,6.779661016949165e-05,0.13559322033898305,0.02800000000000005
57,4.26150121065375e-05,0.13801452784503632,0.017599999999999987
58,3.9225181598062927e-05,0.14043583535108958,0.01619999999999999
59,4.455205811138011e-05,0.14285714285714285,0.018399999999999986
60,2.953995157384986e-05,0.14527845036319612,0.012199999999999992
61,2.3244552058111366e-05,0.14769975786924938,0.009599999999999994
62,1.065375302663438e-05,0.15012106537530268,0.0043999999999999985
63,1.8886198547215485e-05,0.15254237288135594,0.007799999999999995
64,1.5980629539951567e-05,0.1549636803874092,0.006599999999999997
65,1.0169491525423726e-05,0.15738498789346247,0.004199999999999999
66,7.263922518159807e-06,0.15980629539951574,0.003
67,4.842615012106539e-06,0.162227602905569,0.0020000000000000005
