D,probability,D_E,probability_density
-172,3.3333333333333334e-08,-0.028666666666666667,0.0002
-171,6.666666666666667e-08,-0.0285,0.0004
-166,6.666666666666667e-08,-0.027666666666666666,0.0004
-165,3.3333333333333334e-08,-0.0275,0.0002
-164,3.3333333333333334e-08,-0.027333333333333334,0.0002
-163,3.3333333333333334e-08,-0.027166666666666665,0.0002
-162,2e-07,-0.027,0.0012
-161,1.3333333333333334e-07,-0.026833333333333334,0.0008
-160,1.3333333333333334e-07,-0.02666666666666667,0.0008
-159,6.666666666666667e-08,-0.0265,0.0004
-158,1.3333333333333334e-07,-0.026333333333333334,0.0008
-157,1.3333333333333334e-07,-0.026166666666666668,0.0008
-156,3.3333333333333334e-08,-0.026,0.0002
-155,1.6666666666666665e-07,-0.025833333333333333,0.0009999999999999998
-154,2.666666666666667e-07,-0.025666666666666667,0.0016000000000000003
-153,4.333333333333334e-07,-0.0255,0.0026000000000000003
-152,4.666666666666667e-07,-0.025333333333333333,0.0028000000000000004
-151,2.666666666666667e-07,-0.025166666666666667,0.0016000000000000003
-150,3.333333333333334e-07,-0.025,0.0020000000000000005
-149,4.666666666666667e-07,-0.024833333333333332,0.0028000000000000004
-148,6.333333333333332e-07,-0.024666666666666667,0.0037999999999999996
-147,5e-07,-0.0245,0.003
-146,8.333333333333331e-07,-0.024333333333333332,0.004999999999999998
-145,9.666666666666664e-07,-0.024166666666666666,0.005799999999999998
-144,8.666666666666665e-07,-0.024,0.005199999999999999
-143,1.133333333333333e-06,-0.023833333333333335,0.006799999999999998
-142,1.6999999999999998e-06,-0.023666666666666666,0.010199999999999999
-141,1.6666666666666662e-06,-0.0235,0.009999999999999997
-140,1.2999999999999994e-06,-0.023333333333333334,0.007799999999999996
-139,1.5999999999999993e-06,-0.023166666666666665,0.009599999999999996
-138,2.233333333333335e-06,-0.023,0.013400000000000009
-137,2.400000000000003e-06,-0.022833333333333334,0.014400000000000017
-136,2.4333333333333364e-06,-0.02266666666666667,0.01460000000000002
-135,3.4666666666666706e-06,-0.0225,0.020800000000000023
-134,3.2666666666666717e-06,-0.022333333333333334,0.01960000000000003
-133,3.733333333333336e-06,-0.022166666666666668,0.022400000000000014
-132,4.133333333333333e-06,-0.022,0.0248
