D,probability,D_E,probability_density
-82,4.842615012106538e-07,-0.19854721549636803,0.0002
-79,9.685230024213075e-07,-0.19128329297820823,0.0004
-78,9.685230024213075e-07,-0.18886198547215496,0.0004
-77,1.4527845036319614e-06,-0.1864406779661017,0.0006000000000000001
-76,4.842615012106538e-07,-0.18401937046004843,0.0002
-75,4.842615012106538e-07,-0.18159806295399517,0.0002
-74,2.421307506053269e-06,-0.1791767554479419,0.001
-73,4.842615012106538e-07,-0.17675544794188863,0.0002
-72,2.421307506053269e-06,-0.17433414043583534,0.001
-71,4.3583535108958845e-06,-0.17191283292978207,0.0018000000000000004
-70,4.842615012106539e-06,-0.1694915254237288,0.0020000000000000005
-69,5.8111380145278466e-06,-0.16707021791767554,0.0024000000000000007
-68,6.779661016949154e-06,-0.16464891041162227,0.002800000000000001
-67,5.8111380145278466e-06,-0.162227602905569,0.0024000000000000007
-66,1.210653753026634e-05,-0.15980629539951574,0.004999999999999998
-65,1.1622276029055686e-05,-0.15738498789346247,0.004799999999999999
-64,1.210653753026634e-05,-0.1549636803874092,0.004999999999999998
-63,1.5012106537530259e-05,-0.15254237288135594,0.006199999999999997
-62,2.179176755447941e-05,-0.15012106537530268,0.008999999999999996
-61,2.6150121065375287e-05,-0.14769975786924938,0.010799999999999994
-60,3.53510895883777e-05,-0.14527845036319612,0.01459999999999999
-59,3.438256658595639e-05,-0.14285714285714285,0.01419999999999999
-58,3.728813559322031e-05,-0.14043583535108958,0.015399999999999988
-57,6.1016949152542444e-05,-0.13801452784503632,0.025200000000000028
-56,8.426150121065406e-05,-0.13559322033898305,0.03480000000000013
-55,8.571428571428604e-05,-0.13317191283292978,0.03540000000000013
-54,0.00010944309927360831,-0.13075060532687652,0.04520000000000023
-53,0.00013268765133171988,-0.12832929782082325,0.054800000000000314
-52,0.0001399515738498798,-0.12590799031476999,0.05780000000000036
-51,0.0001825665859564178,-0.1234866828087167,0.07540000000000055
-50,0.00022808716707021964,-0.12106537530266344,0.09420000000000071
-49,0.00026973365617433636,-0.11864406779661017,0.11140000000000091
-48,0.00029685230024213314,-0.1162227602905569,0.12260000000000099
-47,0.0003506053268765163,-0.11380145278450363,0.14480000000000123
-46,0.00043099273607748314,-0.11138014527845036,0.17800000000000055
-45,0.0005031476997578664,-0.1089588377723971,0.2077999999999988
