node,degree_x,degree_y,degree_increase,degree_prob_x
0,19,21,2,0.08333333333333333
1,3,3,0,0.013157894736842105
2,10,11,1,0.043859649122807015
3,9,9,0,0.039473684210526314
4,4,4,0,0.017543859649122806
5,14,18,4,0.06140350877192982
6,11,11,0,0.04824561403508772
7,5,5,0,0.021929824561403508
8,11,13,2,0.04824561403508772
9,17,22,5,0.07456140350877193
10,5,7,2,0.021929824561403508
11,8,11,3,0.03508771929824561
12,2,2,0,0.008771929824561403
13,4,4,0,0.017543859649122806
14,2,2,0,0.008771929824561403
15,4,4,0,0.017543859649122806
16,2,2,0,0.008771929824561403
17,4,4,0,0.017543859649122806
18,7,9,2,0.03070175438596491
19,1,1,0,0.0043859649122807015
20,7,7,0,0.03070175438596491
21,3,4,1,0.013157894736842105
22,7,7,0,0.03070175438596491
23,6,6,0,0.02631578947368421
24,1,1,0,0.0043859649122807015
25,4,4,0,0.017543859649122806
26,5,5,0,0.021929824561403508
27,8,8,0,0.03508771929824561
28,2,2,0,0.008771929824561403
29,3,3,0,0.013157894736842105
30,4,4,0,0.017543859649122806
31,2,2,0,0.008771929824561403
32,1,1,0,0.0043859649122807015
33,3,3,0,0.013157894736842105
34,1,1,0,0.0043859649122807015
35,4,4,0,0.017543859649122806
36,2,2,0,0.008771929824561403
37,1,1,0,0.0043859649122807015
38,3,3,0,0.013157894736842105
39,3,3,0,0.013157894736842105
40,1,1,0,0.0043859649122807015
41,3,3,0,0.013157894736842105
42,5,5,0,0.021929824561403508
43,2,2,0,0.008771929824561403
44,1,1,0,0.0043859649122807015
45,1,1,0,0.0043859649122807015
46,1,1,0,0.0043859649122807015
47,2,2,0,0.008771929824561403
