degree_x,node,degree_y,degree_increase,degree_prob_x,cummulative_increase
1,35.666666666666664,1.0,0.0,0.0043859649122807015,0.0
2,28.375,2.0,0.0,0.008771929824561403,0.0
3,28.857142857142858,3.142857142857143,0.14285714285714285,0.013157894736842105,0.14285714285714285
4,19.857142857142858,4.0,0.0,0.017543859649122806,0.14285714285714285
5,21.25,5.5,0.5,0.02192982456140351,0.6428571428571428
6,23.0,6.0,0.0,0.02631578947368421,0.6428571428571428
7,20.0,7.666666666666667,0.6666666666666666,0.030701754385964914,1.3095238095238093
8,19.0,9.5,1.5,0.03508771929824561,2.8095238095238093
9,3.0,9.0,0.0,0.03947368421052632,2.8095238095238093
10,2.0,11.0,1.0,0.04385964912280702,3.8095238095238093
11,7.0,12.0,1.0,0.04824561403508772,4.809523809523809
14,5.0,18.0,4.0,0.06140350877192983,8.80952380952381
17,9.0,22.0,5.0,0.07456140350877193,13.80952380952381
19,0.0,21.0,2.0,0.08333333333333333,15.80952380952381
