node,degree_x,degree_y,degree_increase,degree_prob_x
0,27,28,1,0.005125284738041002
1,2,2,0,0.00037965072133637056
2,12,12,0,0.002277904328018223
3,9,9,0,0.0017084282460136675
4,2,2,0,0.00037965072133637056
5,11,11,0,0.002088078967350038
6,2,2,0,0.00037965072133637056
7,7,7,0,0.0013287775246772968
8,4,4,0,0.0007593014426727411
9,19,19,0,0.00360668185269552
10,60,62,2,0.011389521640091117
11,18,18,0,0.003416856492027335
12,1,1,0,0.00018982536066818528
13,15,16,1,0.0028473804100227792
14,12,12,0,0.002277904328018223
15,34,36,2,0.006454062262718299
16,2,2,0,0.00037965072133637056
17,2,2,0,0.00037965072133637056
18,5,5,0,0.0009491268033409263
19,2,2,0,0.00037965072133637056
20,4,4,0,0.0007593014426727411
21,4,4,0,0.0007593014426727411
22,2,2,0,0.00037965072133637056
23,2,2,0,0.00037965072133637056
24,8,8,0,0.0015186028853454822
25,2,2,0,0.00037965072133637056
26,18,18,0,0.003416856492027335
27,26,27,1,0.004935459377372817
28,1,1,0,0.00018982536066818528
29,2,2,0,0.00037965072133637056
30,4,4,0,0.0007593014426727411
31,5,5,0,0.0009491268033409263
32,3,3,0,0.0005694760820045558
33,2,4,2,0.00037965072133637056
34,3,3,0,0.0005694760820045558
35,4,4,0,0.0007593014426727411
36,2,2,0,0.00037965072133637056
37,3,3,0,0.0005694760820045558
38,2,2,0,0.00037965072133637056
39,2,2,0,0.00037965072133637056
40,2,2,0,0.00037965072133637056
41,4,4,0,0.0007593014426727411
42,3,3,0,0.0005694760820045558
43,24,26,2,0.004555808656036446
44,2,2,0,0.00037965072133637056
45,10,10,0,0.0018982536066818527
46,2,2,0,0.00037965072133637056
47,2,2,0,0.00037965072133637056
48,1,1,0,0.00018982536066818528
49,1,1,0,0.00018982536066818528
50,4,4,0,0.0007593014426727411
51,4,4,0,0.0007593014426727411
52,5,5,0,0.0009491268033409263
53,2,2,0,0.00037965072133637056
54,3,3,0,0.0005694760820045558
55,4,4,0,0.0007593014426727411
56,2,2,0,0.00037965072133637056
57,5,5,0,0.0009491268033409263
58,4,4,0,0.0007593014426727411
59,2,2,0,0.00037965072133637056
60,8,9,1,0.0015186028853454822
61,7,7,0,0.0013287775246772968
62,6,6,0,0.0011389521640091116
63,5,5,0,0.0009491268033409263
64,2,2,0,0.00037965072133637056
65,5,5,0,0.0009491268033409263
66,9,9,0,0.0017084282460136675
67,5,5,0,0.0009491268033409263
68,9,9,0,0.0017084282460136675
