degree_x,node,degree_y,degree_increase,degree_prob_x,cummulative_increase
1,634.8577235772358,2.207317073170732,1.2073170731707317,0.000566893424036281,1.2073170731707317
2,662.1678321678322,3.0,1.0,0.0011337868480725626,2.2073170731707314
3,713.7464788732394,3.943661971830986,0.9436619718309859,0.0017006802721088446,3.1509790450017174
4,554.04,4.56,0.56,0.0022675736961451235,3.7109790450017175
5,420.0,7.4,2.4,0.0028344671201814063,6.110979045001717
6,349.09090909090907,6.2727272727272725,0.2727272727272727,0.0034013605442176865,6.38370631772899
7,359.5,7.0,0.0,0.003968253968253968,6.38370631772899
8,400.0,9.0,1.0,0.004535147392290251,7.38370631772899
9,671.0909090909091,9.636363636363637,0.6363636363636364,0.005102040816326529,8.020069954092627
10,300.3333333333333,10.166666666666666,0.16666666666666666,0.005668934240362813,8.186736620759293
11,351.0,11.0,0.0,0.006235827664399093,8.186736620759293
12,30.333333333333332,12.666666666666666,0.6666666666666666,0.006802721088435374,8.853403287425959
13,722.0,18.0,5.0,0.0073696145124716545,13.853403287425959
14,200.5,14.0,0.0,0.007936507936507936,13.853403287425959
15,287.0,16.0,1.0,0.008503401360544218,14.853403287425959
16,166.0,16.0,0.0,0.0090702947845805,14.853403287425959
17,143.0,21.0,4.0,0.00963718820861678,18.85340328742596
18,439.0,22.0,4.0,0.010204081632653059,22.85340328742596
19,274.5,19.0,0.0,0.010770975056689345,22.85340328742596
20,6.0,20.0,0.0,0.011337868480725623,22.85340328742596
21,131.0,21.666666666666668,0.6666666666666666,0.011904761904761904,23.520069954092627
23,94.0,23.0,0.0,0.013038548752834469,23.520069954092627
28,129.0,29.0,1.0,0.015873015873015872,24.520069954092627
31,117.0,32.0,1.0,0.017573696145124718,25.520069954092627
33,14.0,42.0,9.0,0.018707482993197282,34.52006995409263
