degree_x,node,degree_y,degree_increase,degree_prob_x,cummulative_increase
1,947.5551181102362,1.2834645669291338,0.28346456692913385,0.0002298850574712631,0.28346456692913385
2,910.5698324022346,2.4273743016759775,0.4273743016759777,0.00045977011494252655,0.7108388686051115
3,955.6378378378379,3.6810810810810812,0.6810810810810811,0.0006896551724137916,1.3919199496861925
4,1026.8190476190475,4.819047619047619,0.819047619047619,0.0009195402298850561,2.2109675687338113
5,946.1724137931035,5.879310344827586,0.8793103448275862,0.0011494252873563214,3.0902779135613976
6,859.6,6.64,0.64,0.0013793103448275857,3.7302779135613977
7,1001.8918918918919,8.216216216216216,1.2162162162162162,0.0016091954022988495,4.946494129777614
8,880.72,10.12,2.12,0.0018390804597701155,7.066494129777614
9,827.9444444444445,11.722222222222221,2.7222222222222223,0.0020689655172413802,9.788716351999836
10,965.4166666666666,11.166666666666666,1.1666666666666667,0.002298850574712644,10.955383018666502
11,767.3333333333334,13.222222222222221,2.2222222222222223,0.002528735632183908,13.177605240888724
12,960.6666666666666,12.333333333333334,0.3333333333333333,0.0027586206896551718,13.510938574222058
13,948.1666666666666,15.5,2.5,0.0029885057471264365,16.01093857422206
14,401.1666666666667,18.666666666666668,4.666666666666667,0.003218390804597701,20.677605240888727
15,1297.0,15.0,0.0,0.003448275862068965,20.677605240888727
16,487.25,18.0,2.0,0.0036781609195402297,22.677605240888727
18,1571.5,19.5,1.5,0.00413793103448276,24.177605240888727
19,681.0,20.0,1.0,0.004367816091954023,25.177605240888727
20,325.0,20.0,0.0,0.004597701149425286,25.177605240888727
21,1723.0,21.0,0.0,0.004827586206896552,25.177605240888727
23,1668.5,23.0,0.0,0.005287356321839081,25.177605240888727
24,560.0,33.0,9.0,0.0055172413793103435,34.177605240888724
27,1753.0,27.0,0.0,0.0062068965517241385,34.177605240888724
31,311.0,31.0,0.0,0.007126436781609196,34.177605240888724
80,1027.0,80.0,0.0,0.01839080459770115,34.177605240888724
