node,degree_x,degree_y,degree_increase,degree_prob_x
2,2,3,1,0.0002042483660130719
3,3,3,0,0.00030637254901960784
4,2,3,1,0.0002042483660130719
5,8,8,0,0.0008169934640522876
6,3,5,2,0.00030637254901960784
9,2,6,4,0.0002042483660130719
12,3,5,2,0.00030637254901960784
13,1,3,2,0.00010212418300653595
14,14,18,4,0.0014297385620915032
15,4,4,0,0.0004084967320261438
16,2,3,1,0.0002042483660130719
17,2,3,1,0.0002042483660130719
18,4,5,1,0.0004084967320261438
19,24,31,7,0.0024509803921568627
20,1,5,4,0.00010212418300653595
21,2,4,2,0.0002042483660130719
23,1,5,4,0.00010212418300653595
24,9,10,1,0.0009191176470588235
25,2,5,3,0.0002042483660130719
26,8,11,3,0.0008169934640522876
27,1,7,6,0.00010212418300653595
29,4,6,2,0.0004084967320261438
31,1,2,1,0.00010212418300653595
32,2,2,0,0.0002042483660130719
33,4,4,0,0.0004084967320261438
34,1,2,1,0.00010212418300653595
35,4,5,1,0.0004084967320261438
36,2,3,1,0.0002042483660130719
38,3,4,1,0.00030637254901960784
39,7,9,2,0.0007148692810457516
41,1,4,3,0.00010212418300653595
42,1,1,0,0.00010212418300653595
43,1,1,0,0.00010212418300653595
44,1,1,0,0.00010212418300653595
45,5,5,0,0.0005106209150326798
46,1,1,0,0.00010212418300653595
47,3,3,0,0.00030637254901960784
48,3,4,1,0.00030637254901960784
49,4,4,0,0.0004084967320261438
50,3,3,0,0.00030637254901960784
51,3,3,0,0.00030637254901960784
52,2,2,0,0.0002042483660130719
53,14,20,6,0.0014297385620915032
54,4,4,0,0.0004084967320261438
56,1,2,1,0.00010212418300653595
57,1,3,2,0.00010212418300653595
58,4,9,5,0.0004084967320261438
59,1,3,2,0.00010212418300653595
60,6,13,7,0.0006127450980392157
61,5,6,1,0.0005106209150326798
64,3,4,1,0.00030637254901960784
65,4,4,0,0.0004084967320261438
66,4,4,0,0.0004084967320261438
67,5,6,1,0.0005106209150326798
68,4,4,0,0.0004084967320261438
69,4,4,0,0.0004084967320261438
70,3,4,1,0.00030637254901960784
71,3,3,0,0.00030637254901960784
72,11,11,0,0.0011233660130718953
73,4,4,0,0.0004084967320261438
74,4,4,0,0.0004084967320261438
75,12,12,0,0.0012254901960784314
76,3,3,0,0.00030637254901960784
77,3,3,0,0.00030637254901960784
78,3,3,0,0.00030637254901960784
79,1,1,0,0.00010212418300653595
80,1,2,1,0.00010212418300653595
81,1,1,0,0.00010212418300653595
82,3,3,0,0.00030637254901960784
83,1,1,0,0.00010212418300653595
85,7,7,0,0.0007148692810457516
86,8,8,0,0.0008169934640522876
87,8,8,0,0.0008169934640522876
90,2,3,1,0.0002042483660130719
92,2,2,0,0.0002042483660130719
93,1,2,1,0.00010212418300653595
94,1,5,4,0.00010212418300653595
95,1,1,0,0.00010212418300653595
96,5,6,1,0.0005106209150326798
97,1,1,0,0.00010212418300653595
98,2,2,0,0.0002042483660130719
99,2,2,0,0.0002042483660130719
100,2,2,0,0.0002042483660130719
101,10,10,0,0.0010212418300653595
102,3,3,0,0.00030637254901960784
103,4,4,0,0.0004084967320261438
104,1,2,1,0.00010212418300653595
107,1,1,0,0.00010212418300653595
108,3,3,0,0.00030637254901960784
109,6,6,0,0.0006127450980392157
110,1,1,0,0.00010212418300653595
111,2,2,0,0.0002042483660130719
112,12,15,3,0.0012254901960784314
113,1,1,0,0.00010212418300653595
114,2,2,0,0.0002042483660130719
115,2,3,1,0.0002042483660130719
117,1,2,1,0.00010212418300653595
118,5,5,0,0.0005106209150326798
119,4,5,1,0.0004084967320261438
120,5,5,0,0.0005106209150326798
121,4,4,0,0.0004084967320261438
122,2,2,0,0.0002042483660130719
123,1,1,0,0.00010212418300653595
125,2,2,0,0.0002042483660130719
126,2,2,0,0.0002042483660130719
127,4,4,0,0.0004084967320261438
128,4,4,0,0.0004084967320261438
129,13,13,0,0.0013276143790849674
130,2,2,0,0.0002042483660130719
131,2,2,0,0.0002042483660130719
132,2,2,0,0.0002042483660130719
133,4,4,0,0.0004084967320261438
134,5,5,0,0.0005106209150326798
135,2,2,0,0.0002042483660130719
136,8,8,0,0.0008169934640522876
137,3,3,0,0.00030637254901960784
138,1,1,0,0.00010212418300653595
139,3,3,0,0.00030637254901960784
140,1,1,0,0.00010212418300653595
141,2,4,2,0.0002042483660130719
146,3,6,3,0.00030637254901960784
147,2,6,4,0.0002042483660130719
148,1,1,0,0.00010212418300653595
149,1,1,0,0.00010212418300653595
150,4,4,0,0.0004084967320261438
151,1,1,0,0.00010212418300653595
152,4,5,1,0.0004084967320261438
153,4,4,0,0.0004084967320261438
154,1,1,0,0.00010212418300653595
155,3,3,0,0.00030637254901960784
156,4,4,0,0.0004084967320261438
157,1,2,1,0.00010212418300653595
158,1,1,0,0.00010212418300653595
159,2,3,1,0.0002042483660130719
162,2,4,2,0.0002042483660130719
163,2,4,2,0.0002042483660130719
164,3,4,1,0.00030637254901960784
165,8,11,3,0.0008169934640522876
166,1,1,0,0.00010212418300653595
167,2,4,2,0.0002042483660130719
168,1,2,1,0.00010212418300653595
169,2,3,1,0.0002042483660130719
172,1,1,0,0.00010212418300653595
173,1,3,2,0.00010212418300653595
176,16,23,7,0.0016339869281045752
177,1,1,0,0.00010212418300653595
178,1,1,0,0.00010212418300653595
179,1,1,0,0.00010212418300653595
180,2,2,0,0.0002042483660130719
181,2,2,0,0.0002042483660130719
182,1,1,0,0.00010212418300653595
183,2,2,0,0.0002042483660130719
184,2,2,0,0.0002042483660130719
185,13,20,7,0.0013276143790849674
186,9,10,1,0.0009191176470588235
188,4,5,1,0.0004084967320261438
189,2,3,1,0.0002042483660130719
190,3,6,3,0.00030637254901960784
191,3,28,25,0.00030637254901960784
192,1,3,2,0.00010212418300653595
193,8,8,0,0.0008169934640522876
194,5,6,1,0.0005106209150326798
195,1,1,0,0.00010212418300653595
196,2,2,0,0.0002042483660130719
197,1,1,0,0.00010212418300653595
198,15,15,0,0.0015318627450980392
199,21,22,1,0.002144607843137255
200,9,11,2,0.0009191176470588235
201,1,2,1,0.00010212418300653595
202,1,2,1,0.00010212418300653595
203,2,2,0,0.0002042483660130719
204,11,11,0,0.0011233660130718953
205,2,5,3,0.0002042483660130719
206,2,7,5,0.0002042483660130719
208,4,4,0,0.0004084967320261438
209,3,8,5,0.00030637254901960784
210,9,14,5,0.0009191176470588235
212,1,4,3,0.00010212418300653595
213,10,13,3,0.0010212418300653595
214,1,1,0,0.00010212418300653595
215,3,4,1,0.00030637254901960784
217,4,4,0,0.0004084967320261438
218,6,7,1,0.0006127450980392157
219,6,7,1,0.0006127450980392157
220,5,7,2,0.0005106209150326798
221,2,2,0,0.0002042483660130719
222,16,16,0,0.0016339869281045752
223,5,5,0,0.0005106209150326798
224,5,5,0,0.0005106209150326798
225,3,3,0,0.00030637254901960784
226,17,22,5,0.001736111111111111
227,11,11,0,0.0011233660130718953
228,1,1,0,0.00010212418300653595
229,11,11,0,0.0011233660130718953
