degree_x,node,degree_y,degree_increase,degree_prob_x,cummulative_increase
1,692.6971830985915,2.267605633802817,1.267605633802817,0.0010020040080160328,1.267605633802817
2,696.2454545454545,3.3181818181818183,1.3181818181818181,0.0020040080160320657,2.5857874519846353
3,659.2068965517242,5.0,2.0,0.0030060120240480983,4.585787451984635
4,649.36,5.76,1.76,0.004008016032064129,6.345787451984635
5,585.3928571428571,6.892857142857143,1.8928571428571428,0.005010020040080163,8.238644594841778
6,557.375,8.875,2.875,0.006012024048096192,11.113644594841778
7,504.625,9.75,2.75,0.007014028056112225,13.863644594841778
8,87.0,15.5,7.5,0.008016032064128256,21.36364459484178
9,613.6,16.0,7.0,0.009018036072144287,28.36364459484178
10,213.0,13.0,3.0,0.01002004008016032,31.36364459484178
11,473.0,15.5,4.5,0.011022044088176352,35.86364459484178
12,50.0,29.0,17.0,0.012024048096192385,52.86364459484178
13,11.0,33.0,20.0,0.013026052104208416,72.86364459484179
