node,degree_x,degree_y,degree_increase,degree_prob_x
1,1,2,1,0.008620689655172414
5,7,17,10,0.0603448275862069
14,1,4,3,0.008620689655172414
16,2,2,0,0.017241379310344827
17,2,3,1,0.017241379310344827
20,5,10,5,0.04310344827586207
24,1,8,7,0.008620689655172414
36,2,2,0,0.017241379310344827
40,2,2,0,0.017241379310344827
41,4,12,8,0.034482758620689655
42,2,2,0,0.017241379310344827
43,1,1,0,0.008620689655172414
44,3,12,9,0.02586206896551724
45,4,6,2,0.034482758620689655
46,1,1,0,0.008620689655172414
54,1,3,2,0.008620689655172414
61,2,5,3,0.017241379310344827
62,3,7,4,0.02586206896551724
68,3,6,3,0.02586206896551724
69,1,1,0,0.008620689655172414
72,3,6,3,0.02586206896551724
94,1,3,2,0.008620689655172414
99,1,3,2,0.008620689655172414
100,1,1,0,0.008620689655172414
106,1,1,0,0.008620689655172414
108,3,3,0,0.02586206896551724
109,13,15,2,0.11206896551724138
110,3,3,0,0.02586206896551724
111,1,1,0,0.008620689655172414
112,1,1,0,0.008620689655172414
113,1,1,0,0.008620689655172414
114,2,2,0,0.017241379310344827
117,2,4,2,0.017241379310344827
122,3,6,3,0.02586206896551724
124,2,2,0,0.017241379310344827
128,2,2,0,0.017241379310344827
129,1,1,0,0.008620689655172414
130,1,1,0,0.008620689655172414
131,4,4,0,0.034482758620689655
132,1,1,0,0.008620689655172414
137,1,1,0,0.008620689655172414
138,5,5,0,0.04310344827586207
139,2,2,0,0.017241379310344827
140,3,3,0,0.02586206896551724
141,1,1,0,0.008620689655172414
142,1,1,0,0.008620689655172414
146,1,1,0,0.008620689655172414
148,3,3,0,0.02586206896551724
150,1,1,0,0.008620689655172414
152,1,1,0,0.008620689655172414
154,1,2,1,0.008620689655172414
155,1,1,0,0.008620689655172414
