num_edges,num_nodes_predict,num_nodes_random,num_nodes_real
1,2,2,
2,4,4,
3,5,6,
4,6,8,
5,7,10,
6,8,12,
7,9,14,
8,11,16,
9,12,17,
10,12,19,
11,13,21,
12,14,23,
13,14,25,
14,14,27,
15,14,29,
16,15,31,
17,16,32,
18,17,34,
19,19,35,
20,20,35,
21,21,36,
22,21,38,
23,21,40,
24,21,41,
25,21,42,
26,21,42,
27,21,43,
28,21,44,
29,21,46,
30,21,47,
31,21,48,
32,21,50,
33,22,50,
34,22,51,
35,22,52,
36,22,52,
37,22,54,
38,22,55,
39,22,56,
40,22,56,
41,22,57,
42,23,58,
43,23,58,
44,23,60,
45,23,60,
46,23,62,
47,23,64,
48,23,65,
49,23,66,
50,23,67,
51,23,67,
52,23,67,
53,23,67,
54,23,68,
55,23,69,
56,23,70,
57,24,71,
58,24,71,
59,24,71,
60,25,73,
61,25,73,
62,25,74,
63,25,75,
64,25,75,
65,25,76,
66,25,77,
67,25,78,
68,25,79,
69,25,80,
70,25,80,
71,25,81,
72,25,82,
73,26,83,
74,26,83,
75,26,84,
76,26,84,
77,26,85,
78,26,85,
79,26,85,
80,26,85,
81,26,86,
82,26,87,
83,26,88,
84,27,88,
85,27,89,
86,27,89,
87,27,89,
88,27,90,
89,27,90,
90,27,91,
91,27,92,
92,27,93,
93,27,93,
94,27,93,
95,27,95,
96,27,96,
97,27,96,
98,27,96,
99,27,96,
100,27,96,
101,27,96,
102,27,96,
103,27,96,
104,27,96,
105,27,97,
106,28,97,
107,28,97,
108,28,98,
109,28,99,
110,28,99,
111,28,99,
112,28,100,
113,29,100,
114,29,100,
115,29,100,
116,29,100,
117,30,100,
118,30,100,
119,30,100,
120,30,100,
121,30,100,
122,30,101,
123,30,101,
124,30,101,
125,30,101,
126,30,101,
127,30,101,
128,30,101,
129,30,102,
130,30,102,
131,30,102,
132,30,102,
133,30,103,
134,31,103,
135,31,104,
136,31,104,
137,31,105,
138,31,106,
139,32,106,
140,33,106,
141,33,106,
142,33,107,
143,33,108,
144,33,108,
145,33,108,
146,33,109,
147,33,109,
148,33,110,
149,33,110,
150,33,110,
151,33,110,
152,33,110,
153,33,110,
154,33,111,
155,33,112,
156,33,112,
157,33,112,
158,33,112,
159,33,112,
160,33,112,
161,33,112,
162,33,113,
163,33,113,
164,33,113,
165,33,113,
166,33,114,
167,33,114,
168,33,115,
169,33,115,
170,33,116,
171,33,117,
172,33,117,
173,33,118,
174,33,118,
175,33,118,
176,33,118,
177,33,118,
178,33,119,
179,34,120,
180,34,120,
181,34,121,
182,34,121,
183,34,121,
184,34,121,
185,35,121,
186,35,121,
187,36,121,
188,36,121,
189,36,121,
190,36,122,
191,36,122,
192,36,122,
193,36,122,
194,36,122,
195,36,122,
196,36,123,
197,36,123,
198,37,124,
199,37,124,
200,37,124,
201,38,124,
202,38,124,
203,38,125,
204,38,125,
205,38,125,
206,38,125,
207,38,125,
208,38,125,
209,38,125,
210,38,126,
211,38,127,
212,38,128,
213,39,128,
214,39,128,
215,39,128,
216,39,128,
217,39,128,
218,39,128,
219,40,128,
220,40,128,
221,40,128,
222,40,128,
223,40,128,
224,40,128,
225,40,128,
226,40,128,
227,40,128,
228,40,128,
229,41,129,
230,41,130,
231,41,130,
232,41,130,
233,41,130,
234,41,130,
235,41,130,
236,41,130,
237,41,131,
238,41,131,
239,41,131,
240,42,131,
241,42,131,
242,42,131,
243,42,131,
244,42,131,
245,42,131,
246,43,131,
247,44,131,
248,44,132,
249,44,133,
250,44,134,
251,44,134,
252,44,134,
253,44,134,
254,44,135,
255,44,135,
256,44,135,
257,44,135,
258,44,135,
259,44,136,
260,44,136,
261,44,137,
262,44,137,
263,44,137,
264,44,137,
265,45,137,
266,45,138,
267,46,138,
268,47,138,
269,47,138,
270,47,138,
271,47,138,
272,47,138,
273,47,138,
274,48,138,
275,48,138,
276,48,138,
277,48,138,
278,48,138,
279,48,138,
280,48,138,
281,49,138,
282,49,138,
283,49,138,
284,49,138,
285,50,138,
286,50,138,
287,51,138,
288,51,138,
289,51,138,
290,52,138,
291,52,138,
292,52,138,
293,52,138,
294,52,138,
295,52,138,
296,52,138,
297,52,138,
298,53,138,
299,53,139,
300,54,139,
301,54,139,
302,55,139,
303,55,139,
304,55,139,
305,55,139,
306,55,139,
307,56,139,
308,56,139,
309,56,139,
310,56,139,
311,56,139,
312,57,139,
313,57,140,
314,57,140,
315,57,140,
316,58,140,
317,58,141,
318,58,142,
319,59,142,
320,59,143,
321,59,144,
322,59,144,
323,60,144,
324,60,144,
325,60,144,
326,60,145,
327,60,145,
328,61,145,
329,62,145,
330,63,145,
331,63,145,
332,63,145,
333,63,145,
334,63,145,
335,64,145,
336,65,145,
337,65,145,
338,65,145,
339,65,146,
340,66,146,
341,66,146,
342,66,147,
343,66,147,
344,66,147,
345,67,147,
346,68,148,
347,68,148,
348,69,148,
349,69,148,
350,69,148,
351,69,148,
352,69,148,
353,69,148,
354,69,148,
355,69,148,
356,70,148,
357,70,148,
358,70,148,
359,70,148,
360,70,148,
361,70,148,
362,71,149,
363,71,149,
364,71,149,
365,72,149,
366,72,149,
367,72,149,
368,72,149,
369,72,149,
370,73,149,
371,73,149,
372,74,150,
373,75,150,
374,75,150,
375,75,150,
376,75,150,
377,75,150,
378,76,150,
379,76,150,
380,76,150,
381,76,150,
382,76,150,
383,76,150,
384,76,150,
385,76,150,
386,77,150,
387,78,150,
388,78,151,
389,78,151,
390,78,151,
391,79,151,
392,79,151,
393,79,151,
394,79,151,
395,79,151,
396,79,151,
397,80,151,
398,80,151,
399,80,151,
400,80,151,
401,80,151,
402,80,152,
403,80,152,
404,80,153,
405,80,153,
406,80,153,
407,80,153,
408,80,153,
409,81,153,
410,82,153,
411,83,154,
412,83,154,
413,83,154,
414,83,154,
415,83,154,
416,83,154,
417,83,154,
418,83,154,
419,84,155,
420,84,155,
421,84,155,
422,85,155,
423,85,155,
424,85,156,
425,85,156,
426,86,156,
427,86,156,
428,86,156,
429,86,156,
430,87,156,
431,87,156,
432,87,156,
433,87,157,
434,87,157,
435,87,157,
436,87,157,
437,87,157,
438,87,157,
439,87,157,
440,87,157,
441,88,157,
442,88,157,
443,88,157,
444,88,157,
445,89,158,
446,89,158,
447,89,159,
448,89,159,
449,89,159,
450,89,160,
451,89,160,
452,90,160,
453,91,160,
454,91,160,
455,91,160,
456,92,161,
457,93,161,
458,94,161,
459,94,161,
