num_edges,num_nodes_predict,num_nodes_random,num_nodes_real
1,2,2,
2,3,4,
3,4,6,
4,5,8,
5,6,10,
6,7,11,
7,7,13,
8,9,14,
9,10,15,
10,10,17,
11,10,19,
12,10,20,
13,10,20,
14,11,21,
15,12,21,
16,13,23,
17,13,24,
18,15,25,
19,16,25,
20,17,26,
21,18,26,
22,19,27,
23,20,27,
24,20,28,
25,21,29,
26,22,29,
27,22,29,
28,24,29,
29,25,29,
30,26,30,
31,26,31,
32,26,32,
33,26,32,
34,27,33,
35,28,34,
36,28,35,
37,28,35,
38,29,35,
39,29,36,
40,30,36,
41,30,36,
42,30,36,
43,31,36,
44,31,36,
45,31,36,
46,31,37,
47,32,38,
48,32,38,
49,32,39,
50,32,39,
51,32,40,
52,32,40,
53,32,40,
54,32,40,
55,32,40,
56,32,40,
57,32,40,
58,32,40,
59,32,40,
60,32,40,
61,32,40,
62,32,40,
63,33,40,
64,34,40,
65,35,40,
66,36,42,
67,37,43,
68,37,43,
69,38,43,
70,38,43,
71,39,43,
72,40,43,
73,41,43,
74,43,43,
75,44,43,
76,44,43,
77,45,43,
78,45,43,
79,46,43,
80,46,43,
81,46,43,
82,46,43,
83,46,43,
84,46,44,
85,46,44,
86,46,44,
87,46,44,
88,46,44,
89,46,44,
90,46,44,
91,46,45,
92,47,45,
93,48,45,
94,48,45,
95,48,45,
96,48,45,
97,48,45,
98,48,45,
99,48,45,
100,48,45,
101,48,45,
102,48,46,
103,48,46,
104,48,46,
105,48,46,
106,48,46,
107,48,47,
108,48,47,
109,48,47,
110,48,47,
111,48,47,
112,48,47,
113,48,47,
114,48,47,47.0
115,48,47,
116,48,48,
117,48,48,
118,48,48,
119,48,48,
120,48,48,47.0
121,48,48,
122,48,48,
123,48,48,48.0
124,48,48,48.0
124,48,48,48.0
124,48,48,48.0
125,48,48,48.0
