num_edges,num_nodes_predict,num_nodes_random,num_nodes_real
1,2,2,
2,3,4,
3,5,6,
4,6,8,
5,7,9,
6,8,11,
7,9,13,
8,9,15,
9,9,17,
10,10,18,
11,11,20,
12,12,22,
13,13,24,
14,13,25,
15,13,25,
16,13,27,
17,13,29,
18,13,30,
19,14,31,
20,15,33,
21,16,35,
22,17,37,
23,17,39,
24,17,40,
25,17,41,
26,17,42,
27,17,43,
28,18,44,
29,18,46,
30,19,47,
31,19,47,
32,19,48,
33,20,48,
34,20,49,
35,21,51,
36,21,53,
37,21,53,
38,22,54,
39,23,56,
40,23,57,
41,23,59,
42,24,60,
43,24,61,
44,24,62,
45,24,64,
46,24,64,
47,24,64,
48,24,66,
49,24,66,
50,24,67,
51,25,67,
52,25,68,
53,26,70,
54,27,72,
55,27,72,
56,27,74,
57,27,74,
58,27,75,
59,27,76,
60,27,76,
61,27,76,
62,28,76,
63,28,76,
64,28,76,
65,28,77,
66,28,77,
67,28,77,
68,29,77,
69,29,77,
70,29,78,
71,29,78,
72,30,78,
73,30,79,
74,31,80,
75,31,80,
76,31,81,
77,31,82,
78,31,83,
79,31,84,
80,32,84,
81,33,85,
82,33,85,
83,33,85,
84,33,86,
85,33,86,
86,33,86,
87,33,86,
88,33,87,
89,33,87,
90,34,87,
91,34,87,
92,34,87,
93,34,87,
94,34,88,
95,34,88,
96,34,88,
97,34,88,
98,34,88,
99,34,88,
100,35,89,
101,35,89,
102,35,91,
103,35,92,
104,35,92,
105,36,93,
106,36,93,
107,36,93,
108,36,93,
109,36,93,
110,37,94,
111,37,94,
112,37,94,
113,38,94,
114,38,94,
115,38,95,
116,38,95,
117,38,95,
118,38,95,
119,38,95,
120,38,96,
121,38,96,
122,38,96,
123,38,96,
124,38,96,
125,38,97,
126,38,97,
127,38,97,
128,38,98,
129,38,98,
130,38,98,
131,38,98,
132,39,98,
133,39,98,
134,39,99,
135,39,100,
136,39,100,
137,39,100,
138,39,100,
139,39,101,
140,39,101,
141,39,101,
142,39,101,
143,39,101,
144,39,101,
145,39,101,
146,40,101,
147,40,101,
148,40,101,
149,40,101,
150,40,101,
151,40,101,
152,40,101,
153,40,101,
154,40,101,
155,40,101,
156,40,101,
