num_edges,num_nodes_predict,num_nodes_random,num_nodes_real
1,2,2,
2,3,4,
3,4,6,
4,5,8,
5,7,10,
6,9,12,
7,10,14,
8,12,16,
9,14,17,
10,15,19,
11,15,21,
12,15,23,
13,15,24,
14,15,26,
15,15,28,
16,16,30,
17,17,32,
18,19,34,
19,20,35,
20,21,37,
21,22,39,
22,22,40,
23,24,42,
24,24,43,
25,24,45,
26,24,47,
27,25,48,
28,25,50,
29,27,52,
30,27,54,
31,27,56,
32,28,58,
33,28,59,
34,28,59,
35,30,60,
36,31,62,
37,32,63,
38,32,64,
39,32,66,
40,32,68,
41,33,70,
42,33,71,
43,33,73,
44,33,73,
45,33,74,
46,34,76,
47,34,78,
48,35,79,
49,35,81,
50,35,82,
51,35,84,
52,37,86,
53,38,88,
54,38,90,
55,39,90,
56,39,91,
57,39,93,
58,39,95,
59,39,95,
60,41,97,
61,41,98,
62,41,100,
63,41,102,
64,42,104,
65,42,106,
66,43,106,
67,45,108,
68,46,109,
69,46,111,
70,46,112,
71,46,113,
72,46,114,
73,47,116,
74,48,116,
75,49,117,
76,49,119,
77,49,119,
78,49,120,
79,49,120,
80,49,122,
81,49,123,
82,49,124,
83,49,124,
84,49,125,
85,50,126,
86,50,128,
87,50,130,
88,50,131,
89,52,131,
90,53,132,
91,53,133,
92,54,135,
93,54,136,
94,54,136,
95,54,137,
96,56,137,
97,56,139,
98,56,141,
99,56,142,
100,56,142,
101,56,144,
102,56,146,
103,56,147,
104,56,148,
105,56,149,
106,56,149,
107,56,150,
108,56,152,
109,56,153,
110,56,155,
111,57,155,
112,57,156,
113,57,156,
114,57,157,
115,57,159,
116,57,161,
117,58,162,
118,58,163,
119,58,163,
120,58,164,
121,58,166,
122,58,167,
123,58,169,
124,58,171,
125,59,173,
126,60,174,
127,60,174,
128,60,175,
129,60,176,
130,60,177,
131,60,178,
132,61,178,
133,62,178,
134,62,179,
135,62,180,
136,62,180,
137,62,181,
138,62,182,
139,62,184,
140,62,185,
141,62,187,
142,62,187,
143,62,189,
144,62,190,
145,62,192,
146,62,194,
147,62,195,
148,62,195,
149,62,195,
150,62,197,
151,63,197,
152,63,197,
153,63,198,
154,63,198,
155,64,200,
156,64,200,
