num_edges,num_nodes_predict,num_nodes_random,num_nodes_real
1,2,2,
2,4,4,
3,5,6,
4,7,8,
5,8,10,
6,9,12,
7,10,14,
8,11,16,
9,11,18,
10,11,20,
11,12,22,
12,12,24,
13,13,26,
14,14,28,
15,16,30,
16,17,32,
17,19,34,
18,21,36,
19,23,38,
20,24,40,
21,25,42,
22,26,44,
23,27,45,
24,28,47,
25,29,49,
26,30,51,
27,31,52,
28,32,54,
29,33,56,
30,34,58,
31,35,59,
32,35,60,
33,36,61,
34,37,63,
35,37,65,
36,38,66,
37,39,68,
38,40,69,
39,42,71,
40,43,73,
41,45,75,
42,46,76,
43,46,78,
44,47,79,
45,48,80,
46,49,82,
47,50,84,
48,51,86,
49,51,87,
50,52,89,
51,52,91,
52,53,93,
53,54,95,
54,55,96,
55,57,98,
56,59,100,
57,60,101,
58,62,102,
59,63,104,
60,64,104,
61,65,106,
62,67,108,
63,69,110,
64,70,111,
65,71,112,
66,72,114,
67,73,114,
68,74,116,
69,76,118,
70,77,120,
71,79,121,
72,80,122,
73,81,124,
74,83,126,
75,83,128,
76,84,130,
77,85,131,
78,86,133,
79,87,134,
80,88,135,
81,89,137,
82,90,138,
83,92,139,
84,92,141,
85,93,142,
86,95,143,
87,96,144,
88,98,145,
89,99,146,
90,100,147,
91,101,148,
92,103,150,
93,105,150,
94,105,152,
95,105,153,
96,106,155,
97,107,156,
98,109,158,
99,110,159,
100,112,160,
101,113,160,
102,113,161,
103,114,161,
104,114,163,
105,115,165,
106,117,167,
107,118,168,
108,119,170,
109,120,172,
110,122,173,
111,123,175,
112,124,176,
113,126,178,
114,128,179,
115,130,180,
116,131,181,
117,132,182,
118,134,184,
119,135,185,
120,136,186,
121,138,187,
122,139,188,
123,139,190,
124,140,192,
125,141,193,
126,142,195,
127,144,196,
128,146,198,
129,146,199,
130,147,199,
131,148,200,
132,149,201,
133,151,203,
134,152,204,
135,153,205,
136,155,206,
137,156,208,
138,157,210,
139,157,211,
140,158,212,
141,159,213,
142,161,213,
143,162,213,
144,164,214,
145,165,214,
146,166,215,
147,168,217,
148,170,219,
149,171,220,
150,173,221,
151,174,222,
152,175,223,
153,177,225,
154,179,227,
155,179,228,
156,180,230,
157,181,230,
158,182,231,
159,183,233,
160,183,234,
161,185,235,
162,186,237,
163,187,237,
164,189,238,
165,189,239,
166,190,240,
167,191,242,
168,193,244,
169,194,246,
170,195,248,
171,197,248,
172,199,249,
173,200,249,
174,200,249,
175,202,251,
176,203,252,
177,204,252,
178,204,253,
179,205,254,
180,207,256,
181,208,258,
182,209,259,
183,209,260,
184,211,260,
185,213,262,
186,215,263,
187,216,265,
188,216,265,
189,218,266,
190,219,267,
191,220,268,
192,221,270,
193,222,272,
194,224,272,
195,225,273,
196,226,274,
197,227,276,
198,228,277,
199,228,278,
200,229,279,
201,231,279,
202,233,281,
203,234,283,
204,236,285,
205,238,286,
206,240,287,
207,241,288,
208,242,288,
209,243,290,
210,245,291,
211,247,292,
212,249,293,
213,250,295,
214,251,295,
215,253,296,
216,254,297,
217,256,298,
218,258,299,
219,259,301,
220,261,303,
221,262,304,
222,264,305,
223,266,306,
224,268,306,
225,270,308,
226,271,310,
227,272,310,
228,273,311,
229,273,312,
230,274,313,
231,276,315,
232,278,315,
233,278,316,
234,278,317,
235,280,317,
236,282,317,
237,283,317,
238,285,318,
239,285,319,
240,286,321,291.0
241,287,322,
242,288,323,
243,290,324,
244,291,324,
245,293,325,
246,294,325,
247,294,325,
248,296,327,
249,297,329,
250,299,329,
251,301,330,
252,303,331,
253,305,333,
254,307,333,
255,308,334,
256,310,336,
257,312,338,
258,313,339,
259,314,340,
260,315,340,
261,315,341,
262,316,341,
263,317,342,
264,319,344,
265,321,345,
266,322,347,
267,323,348,
268,324,349,
269,326,351,
270,327,351,
271,327,351,
272,329,352,
273,329,353,
274,330,355,
275,330,355,
276,331,356,
277,331,358,
278,332,360,
279,333,361,
280,334,363,
281,335,365,
282,337,366,
283,339,367,
284,339,367,
285,341,368,
286,343,368,
287,344,370,
288,346,371,
289,347,372,
290,349,373,
291,350,374,
292,350,375,
293,351,377,
294,352,378,
295,354,378,
296,355,378,
297,355,379,
298,357,380,
299,358,380,
300,358,380,
301,359,382,
302,360,383,
303,361,384,
304,362,386,
305,364,387,
306,366,388,
307,366,389,
308,366,390,
309,367,391,
310,369,392,
311,370,392,
312,372,393,
313,373,393,
314,374,395,
315,376,395,
316,377,395,
317,377,396,
318,377,397,
319,377,398,
320,379,399,
321,380,400,
322,381,401,
323,381,402,
324,383,403,
325,384,404,
326,385,405,
327,385,406,
328,386,408,
329,386,409,
330,387,410,
331,388,410,
332,389,410,
333,390,410,
334,390,411,
335,390,412,
336,391,413,
337,391,414,
338,392,415,
339,393,416,
340,395,417,
341,395,417,
342,396,417,
343,398,418,
344,398,419,
345,398,420,
346,398,421,
347,399,423,
348,400,424,
349,402,424,
350,403,425,
351,404,427,
352,404,428,
353,406,429,
354,407,430,
355,408,430,
356,409,431,
357,410,433,
358,411,434,
359,412,434,
360,414,436,
361,416,438,
362,417,439,411.0
363,417,440,
364,418,441,
365,420,441,
366,421,442,
367,422,442,
368,422,442,
369,422,442,
370,423,443,
371,425,443,
372,426,444,
373,427,446,
374,428,447,
375,430,448,
376,430,449,
377,430,449,
378,430,451,
379,431,452,
380,432,453,
381,432,455,
382,433,456,
383,434,457,
384,435,457,
385,436,458,
386,437,458,
387,437,459,
388,437,460,
389,438,460,
390,439,461,
391,439,462,
392,440,462,
393,441,462,
394,443,463,
395,445,463,
396,446,464,
397,447,464,
398,448,464,
399,450,465,
400,452,466,
401,453,466,
402,453,467,
403,454,467,
404,455,467,
405,455,469,
406,456,470,
407,457,471,
408,458,472,
409,459,472,
410,460,472,
411,461,472,
412,462,473,
413,463,473,
414,464,474,
415,465,474,
416,465,474,458.0
417,466,475,
418,466,477,
419,467,477,
420,467,477,
421,468,478,
422,470,478,
423,471,478,
424,471,478,
425,471,478,
426,472,479,
427,473,479,
428,475,480,
429,477,482,
430,477,482,
431,479,483,
432,480,484,
433,481,485,
434,482,485,
435,483,485,
436,484,485,
437,484,485,
438,485,485,485.0
