D,probability,D_E,probability_density
-86,4.842615012106538e-07,-0.20823244552058112,0.0002
-84,9.685230024213075e-07,-0.2033898305084746,0.0004
-82,4.842615012106538e-07,-0.19854721549636803,0.0002
-80,4.842615012106538e-07,-0.1937046004842615,0.0002
-79,4.842615012106538e-07,-0.19128329297820823,0.0002
-76,4.842615012106538e-07,-0.18401937046004843,0.0002
-75,1.937046004842615e-06,-0.18159806295399517,0.0008
-74,4.842615012106538e-07,-0.1791767554479419,0.0002
-73,4.842615012106538e-07,-0.17675544794188863,0.0002
-72,4.842615012106538e-07,-0.17433414043583534,0.0002
-71,2.421307506053269e-06,-0.17191283292978207,0.001
-70,2.905569007263923e-06,-0.1694915254237288,0.0012000000000000001
-69,2.905569007263923e-06,-0.16707021791767554,0.0012000000000000001
-68,2.905569007263923e-06,-0.16464891041162227,0.0012000000000000001
-67,5.326876513317193e-06,-0.162227602905569,0.0022000000000000006
-66,4.842615012106539e-06,-0.15980629539951574,0.0020000000000000005
-65,9.20096852300242e-06,-0.15738498789346247,0.0037999999999999996
-64,1.5012106537530259e-05,-0.1549636803874092,0.006199999999999997
-63,1.6464891041162218e-05,-0.15254237288135594,0.006799999999999996
-62,1.4527845036319605e-05,-0.15012106537530268,0.005999999999999997
-61,2.953995157384986e-05,-0.14769975786924938,0.012199999999999992
-60,2.518159806295398e-05,-0.14527845036319612,0.010399999999999994
-59,4.0677966101694884e-05,-0.14285714285714285,0.01679999999999999
-58,4.164648910411619e-05,-0.14043583535108958,0.017199999999999986
-57,5.230024213075059e-05,-0.13801452784503632,0.02159999999999999
-56,6.63438256658597e-05,-0.13559322033898305,0.027400000000000056
-55,8.280871670702207e-05,-0.13317191283292978,0.03420000000000011
-54,0.0001210653753026641,-0.13075060532687652,0.05000000000000027
-53,0.00011719128329297885,-0.12832929782082325,0.04840000000000026
-52,0.00013462469733656256,-0.12590799031476999,0.05560000000000034
-51,0.00017239709443099392,-0.1234866828087167,0.07120000000000049
-50,0.00021016949152542536,-0.12106537530266344,0.08680000000000067
-49,0.0002518159806295419,-0.11864406779661017,0.1040000000000008
-48,0.00030266343825666116,-0.1162227602905569,0.12500000000000105
-47,0.00035496368038741223,-0.11380145278450363,0.14660000000000126
-46,0.0004145278450363219,-0.11138014527845036,0.17120000000000093
-45,0.0004915254237288114,-0.1089588377723971,0.2029999999999991
-44,0.000570460048426143,-0.10653753026634383,0.2355999999999971
-43,0.0006915254237287987,-0.10411622276029056,0.28559999999999386
-42,0.0007612590799031305,-0.1016949152542373,0.3143999999999929
-41,0.0009554479418886086,-0.09927360774818401,0.39459999999999534
-40,0.0010513317191283237,-0.09685230024213075,0.4341999999999977
-39,0.0012246973365617404,-0.09443099273607748,0.5057999999999988
-38,0.0014552058111380213,-0.09200968523002422,0.6010000000000028
-37,0.0016905569007263893,-0.08958837772397095,0.6981999999999988
-36,0.001879903147699741,-0.08716707021791767,0.776399999999993
-35,0.002118644067796569,-0.0847457627118644,0.874999999999983
-34,0.0024939467312348005,-0.08232445520581114,1.0299999999999727
-33,0.0027878934624696507,-0.07990314769975787,1.1513999999999658
-32,0.0030949152542372148,-0.0774818401937046,1.2781999999999698
-31,0.0035869249394672458,-0.07506053268765134,1.4813999999999725
-30,0.003954479418886152,-0.07263922518159806,1.6331999999999807
-29,0.004516707021791711,-0.07021791767554479,1.8653999999999766
-28,0.0049171912832929165,-0.06779661016949153,2.0307999999999744
-27,0.005488619854721495,-0.06537530266343826,2.2667999999999773
-26,0.0061428571428570715,-0.06295399515738499,2.5369999999999706
