D,probability,D_E,probability_density
-79,4.842615012106538e-07,-0.19128329297820823,0.0002
-78,9.685230024213075e-07,-0.18886198547215496,0.0004
-76,1.4527845036319614e-06,-0.18401937046004843,0.0006000000000000001
-75,9.685230024213075e-07,-0.18159806295399517,0.0004
-74,9.685230024213075e-07,-0.1791767554479419,0.0004
-73,2.905569007263923e-06,-0.17675544794188863,0.0012000000000000001
-72,1.937046004842615e-06,-0.17433414043583534,0.0008
-71,2.421307506053269e-06,-0.17191283292978207,0.001
-70,1.937046004842615e-06,-0.1694915254237288,0.0008
-69,3.874092009685231e-06,-0.16707021791767554,0.0016000000000000005
-68,8.232445520581114e-06,-0.16464891041162227,0.0034
-67,3.874092009685231e-06,-0.162227602905569,0.0016000000000000005
-66,1.3075060532687647e-05,-0.15980629539951574,0.005399999999999998
-65,1.210653753026634e-05,-0.15738498789346247,0.004999999999999998
-64,1.210653753026634e-05,-0.1549636803874092,0.004999999999999998
-63,1.694915254237287e-05,-0.15254237288135594,0.006999999999999996
-62,2.2760290556900712e-05,-0.15012106537530268,0.009399999999999993
-61,2.1791767554479406e-05,-0.14769975786924938,0.008999999999999994
-60,3.196125907990313e-05,-0.14527845036319612,0.013199999999999991
-59,4.0193704600484233e-05,-0.14285714285714285,0.01659999999999999
-58,4.116222760290554e-05,-0.14043583535108958,0.016999999999999987
-57,6.198547215496376e-05,-0.13801452784503632,0.025600000000000036
-56,5.6174334140435855e-05,-0.13559322033898305,0.02320000000000001
-55,7.699757869249417e-05,-0.13317191283292978,0.03180000000000009
-54,0.00010217917675544841,-0.13075060532687652,0.042200000000000196
-53,0.0001205811138014534,-0.12832929782082325,0.049800000000000254
-52,0.00014963680387409297,-0.12590799031476999,0.061800000000000396
-51,0.00017384987893462588,-0.1234866828087167,0.07180000000000049
-50,0.0002130750605326892,-0.12106537530266344,0.08800000000000063
-49,0.0002523002421307526,-0.11864406779661017,0.10420000000000082
-48,0.0002895883777239733,-0.1162227602905569,0.11960000000000098
-47,0.00036513317191283603,-0.11380145278450363,0.1508000000000013
-46,0.00043196125907990447,-0.11138014527845036,0.17840000000000056
-45,0.0005050847457627084,-0.1089588377723971,0.20859999999999856
-44,0.0006150121065375211,-0.10653753026634383,0.2539999999999962
-43,0.0007375302663438085,-0.10411622276029056,0.3045999999999929
-42,0.0008300242130750451,-0.1016949152542373,0.3427999999999936
-41,0.000982566585956405,-0.09927360774818401,0.4057999999999953
-40,0.0010886198547215415,-0.09685230024213075,0.4495999999999966
-39,0.001261016949152543,-0.09443099273607748,0.5208000000000003
-38,0.0014585956416464942,-0.09200968523002422,0.6024000000000022
-37,0.0016808716707021737,-0.08958837772397095,0.6941999999999977
-36,0.001956416464891004,-0.08716707021791767,0.8079999999999846
-35,0.0021878934624696878,-0.0847457627118644,0.9035999999999811
-34,0.0025152542372880705,-0.08232445520581114,1.038799999999973
-33,0.0027491525423728085,-0.07990314769975787,1.13539999999997
-32,0.0032624697336560912,-0.0774818401937046,1.3473999999999657
-31,0.0036179176755447343,-0.07506053268765134,1.4941999999999753
-30,0.0039869249394672525,-0.07263922518159806,1.6465999999999752
-29,0.004556416464890981,-0.07021791767554479,1.8817999999999753
-28,0.0050460048426149515,-0.06779661016949153,2.083999999999975
-27,0.0055510895883776595,-0.06537530266343826,2.2925999999999735
-26,0.006221307506053188,-0.06295399515738499,2.5693999999999666
-25,0.00685181598062952,-0.06053268765133172,2.8297999999999917
-24,0.0076305084745763455,-0.05811138014527845,3.151400000000031
-23,0.008250847457627181,-0.05569007263922518,3.4076000000000257
-22,0.009180629539951628,-0.053268765133171914,3.791600000000022
-21,0.009909927360774898,-0.05084745762711865,4.092800000000033
-20,0.010840677966101732,-0.048426150121065374,4.477200000000015
-19,0.011681840193704671,-0.04600484261501211,4.8246000000000295
-18,0.012661501210653788,-0.043583535108958835,5.229200000000015
-17,0.013657627118644171,-0.04116222760290557,5.640600000000043
-16,0.014488619854721756,-0.0387409200968523,5.983800000000086
-15,0.015561259079903317,-0.03631961259079903,6.42680000000007
-14,0.0165016949152543,-0.03389830508474576,6.815200000000026
-13,0.017512832929782046,-0.031476997578692496,7.232799999999985
-12,0.01839612590799022,-0.029055690072639227,7.597599999999961
-11,0.019548668280871366,-0.026634382566585957,8.073599999999875
-10,0.020454237288135266,-0.024213075060532687,8.447599999999865
-9,0.021573849878934223,-0.021791767554479417,8.909999999999835
-8,0.022479418886198053,-0.01937046004842615,9.283999999999796
-7,0.02302469733656122,-0.01694915254237288,9.509199999999783
-6,0.023892493946730726,-0.014527845036319613,9.86759999999979
-5,0.024758837772396583,-0.012106537530266344,10.225399999999789
-4,0.02539951573849835,-0.009685230024213076,10.489999999999819
-3,0.026000968523001985,-0.007263922518159807,10.73839999999982
-2,0.02614624697336518,-0.004842615012106538,10.79839999999982
-1,0.026874092009684988,-0.002421307506053269,11.0989999999999
0,0.027186440677965867,0.0,11.227999999999902
1,0.0269128329297818,0.002421307506053269,11.114999999999885
2,0.026515254237287768,0.004842615012106538,10.950799999999848
3,0.025754479418885746,0.007263922518159807,10.636599999999813
4,0.025292493946730773,0.009685230024213076,10.445799999999808
5,0.02465230024213026,0.012106537530266344,10.181399999999798
6,0.023977239709442547,0.014527845036319613,9.902599999999772
7,0.023180145278449867,0.01694915254237288,9.573399999999795
8,0.02240242130750553,0.01937046004842615,9.252199999999783
9,0.021357384987892993,0.021791767554479417,8.820599999999807
10,0.02030605326876479,0.024213075060532687,8.386399999999858
11,0.019436803874091767,0.026634382566585957,8.027399999999899
12,0.018600968523002272,0.029055690072639227,7.682199999999939
13,0.017548184019370403,0.031476997578692496,7.247399999999976
14,0.01651670702179186,0.03389830508474576,6.821400000000038
15,0.015466828087167267,0.03631961259079903,6.387800000000081
16,0.014484261501210816,0.0387409200968523,5.982000000000067
17,0.013541404358353623,0.04116222760290557,5.592600000000046
18,0.012627118644067837,0.043583535108958835,5.215000000000017
19,0.011531719128329364,0.04600484261501211,4.7626000000000275
20,0.010679903147699817,0.048426150121065374,4.410800000000024
21,0.00984891041162235,0.05084745762711865,4.067600000000031
22,0.009057142857142915,0.053268765133171914,3.7406000000000237
23,0.008312348668280919,0.05569007263922518,3.4330000000000194
24,0.007541404358353562,0.05811138014527845,3.114600000000021
25,0.006864891041162203,0.06053268765133172,2.8351999999999897
26,0.006264891041162152,0.06295399515738499,2.5873999999999686
27,0.0056188861985471475,0.06537530266343826,2.320599999999972
28,0.005068765133171844,0.06779661016949153,2.0933999999999715
29,0.004548668280871624,0.07021791767554479,1.8785999999999807
30,0.00408038740920091,0.07263922518159806,1.6851999999999756
31,0.003674092009685164,0.07506053268765134,1.5173999999999728
32,0.003172881355932116,0.0774818401937046,1.3103999999999638
33,0.002856174334140359,0.07990314769975787,1.1795999999999682
34,0.002432445520581055,0.08232445520581114,1.0045999999999757
35,0.002180629539951525,0.0847457627118644,0.9005999999999798
36,0.0019331719128329013,0.08716707021791767,0.7983999999999882
37,0.0017205811138014443,0.08958837772397095,0.7105999999999965
38,0.0014658595641646552,0.09200968523002422,0.6054000000000026
39,0.0013263922518159817,0.09443099273607748,0.5478000000000004
40,0.0010842615012106478,0.09685230024213075,0.44779999999999753
41,0.0009607748184019252,0.09927360774818401,0.3967999999999951
42,0.0008648910411622122,0.1016949152542373,0.35719999999999363
43,0.0007259079903147535,0.10411622276029056,0.2997999999999932
44,0.0006033898305084649,0.10653753026634383,0.249199999999996
45,0.0005476997578692436,0.1089588377723971,0.22619999999999763
46,0.0004305084745762725,0.11138014527845036,0.17780000000000054
47,0.0003670702179176787,0.11380145278450363,0.1516000000000013
48,0.0003336561743341432,0.1162227602905569,0.13780000000000114
49,0.0002692493946731256,0.11864406779661017,0.11120000000000088
50,0.00021598062953995316,0.12106537530266344,0.08920000000000065
51,0.00019128329297820958,0.1234866828087167,0.07900000000000056
52,0.0001447941888619864,0.12590799031476999,0.05980000000000038
53,0.0001351089588377732,0.12832929782082325,0.05580000000000033
54,9.588377723970984e-05,0.13075060532687652,0.03960000000000016
55,9.685230024213118e-05,0.13317191283292978,0.040000000000000174
56,6.63438256658597e-05,0.13559322033898305,0.027400000000000056
57,5.5205811138014535e-05,0.13801452784503632,0.022800000000000004
58,4.116222760290554e-05,0.14043583535108958,0.016999999999999987
59,4.891041162227599e-05,0.14285714285714285,0.020199999999999982
60,3.244552058111378e-05,0.14527845036319612,0.01339999999999999
61,2.518159806295398e-05,0.14769975786924938,0.010399999999999994
62,1.840193704600483e-05,0.15012106537530268,0.007599999999999996
63,1.694915254237287e-05,0.15254237288135594,0.006999999999999996
64,7.263922518159807e-06,0.1549636803874092,0.003
65,1.1138014527845033e-05,0.15738498789346247,0.004599999999999998
66,8.716707021791767e-06,0.15980629539951574,0.0036
67,8.232445520581114e-06,0.162227602905569,0.0034
68,6.295399515738501e-06,0.16464891041162227,0.0026000000000000007
69,7.263922518159807e-06,0.16707021791767554,0.003
70,5.326876513317193e-06,0.1694915254237288,0.0022000000000000006
71,1.937046004842615e-06,0.17191283292978207,0.0008
72,9.685230024213075e-07,0.17433414043583534,0.0004
73,1.4527845036319614e-06,0.17675544794188863,0.0006000000000000001
74,4.842615012106538e-07,0.1791767554479419,0.0002
75,9.685230024213075e-07,0.18159806295399517,0.0004
76,1.4527845036319614e-06,0.18401937046004843,0.0006000000000000001
77,4.842615012106538e-07,0.1864406779661017,0.0002
78,4.842615012106538e-07,0.18886198547215496,0.0002
79,9.685230024213075e-07,0.19128329297820823,0.0004
85,4.842615012106538e-07,0.20581113801452786,0.0002
