node,degree_x,degree_y,degree_increase,degree_prob_x
1,174,181,7,0.03309243058197033
2,177,183,6,0.03366298972993534
3,83,105,22,0.015785469760365156
4,89,109,20,0.01692658805629517
5,63,93,30,0.01198174210726512
6,104,113,9,0.0197793837961202
7,86,116,30,0.016356028908330163
8,105,129,24,0.0199695701787752
9,101,117,16,0.019208824648155192
10,55,93,38,0.010460251046025104
11,66,68,2,0.012552301255230125
12,69,83,14,0.013122860403195132
13,64,89,25,0.012171928489920122
14,53,76,23,0.010079878280715101
15,42,85,43,0.00798782807151008
16,116,133,17,0.02206162038798022
17,61,86,25,0.011601369341955116
18,87,116,29,0.016546215290985166
19,74,116,42,0.01407379231647014
20,77,96,19,0.014644351464435146
21,62,92,30,0.011791555724610117
22,112,122,10,0.02130087485736021
23,92,112,20,0.017497147204260176
24,137,149,12,0.02605553442373526
25,95,107,12,0.018067706352225182
26,65,90,25,0.012362114872575124
27,59,71,12,0.011220996576645112
28,100,108,8,0.01901863826550019
29,123,135,12,0.023392925066565234
30,138,141,3,0.026245720806390264
31,82,94,12,0.015595283377710156
32,64,88,24,0.012171928489920122
33,112,119,7,0.02130087485736021
34,78,108,30,0.014834537847090148
35,27,29,2,0.005135032331685051
36,34,34,0,0.006466337010270064
37,34,34,0,0.006466337010270064
38,34,34,0,0.006466337010270064
39,34,34,0,0.006466337010270064
40,26,26,0,0.00494484594903005
41,34,34,0,0.006466337010270064
42,33,33,0,0.006276150627615063
43,34,34,0,0.006466337010270064
44,29,30,1,0.005515405096995055
45,34,34,0,0.006466337010270064
46,34,34,0,0.006466337010270064
47,34,34,0,0.006466337010270064
48,29,30,1,0.005515405096995055
49,29,29,0,0.005515405096995055
50,22,23,1,0.0041841004184100415
51,34,34,0,0.006466337010270064
52,15,16,1,0.0028527957398250285
53,9,20,11,0.001711677443895017
55,14,17,3,0.0026626093571700264
56,15,27,12,0.0028527957398250285
57,10,17,7,0.001901863826550019
58,3,8,5,0.0005705591479650057
60,23,23,0,0.004374286801065044
61,32,32,0,0.006085964244960061
62,20,20,0,0.003803727653100038
63,28,30,2,0.005325218714340053
64,8,10,2,0.0015214910612400153
65,25,28,3,0.004754659566375047
66,25,30,5,0.004754659566375047
67,19,22,3,0.0036135412704450362
68,20,21,1,0.003803727653100038
69,22,23,1,0.0041841004184100415
70,19,24,5,0.0036135412704450362
71,20,21,1,0.003803727653100038
72,7,17,10,0.0013313046785850132
73,6,11,5,0.0011411182959300114
74,8,13,5,0.0015214910612400153
75,33,33,0,0.006276150627615063
76,34,34,0,0.006466337010270064
77,31,31,0,0.005895777862305059
78,34,34,0,0.006466337010270064
79,23,24,1,0.004374286801065044
80,7,11,4,0.0013313046785850132
81,3,6,3,0.0005705591479650057
82,4,6,2,0.0007607455306200076
83,3,8,5,0.0005705591479650057
84,8,13,5,0.0015214910612400153
85,6,12,6,0.0011411182959300114
86,14,18,4,0.0026626093571700264
87,10,15,5,0.001901863826550019
88,6,12,6,0.0011411182959300114
89,5,9,4,0.0009509319132750095
90,16,23,7,0.0030429821224800305
91,8,10,2,0.0015214910612400153
92,4,6,2,0.0007607455306200076
93,9,13,4,0.001711677443895017
94,6,12,6,0.0011411182959300114
95,15,20,5,0.0028527957398250285
96,5,6,1,0.0009509319132750095
97,13,21,8,0.002472422974515025
98,16,21,5,0.0030429821224800305
99,8,16,8,0.0015214910612400153
100,4,7,3,0.0007607455306200076
101,5,9,4,0.0009509319132750095
102,6,16,10,0.0011411182959300114
103,4,10,6,0.0007607455306200076
104,3,9,6,0.0005705591479650057
105,10,16,6,0.001901863826550019
106,15,16,1,0.0028527957398250285
107,3,11,8,0.0005705591479650057
108,3,9,6,0.0005705591479650057
109,2,10,8,0.0003803727653100038
110,3,11,8,0.0005705591479650057
111,4,7,3,0.0007607455306200076
112,2,5,3,0.0003803727653100038
113,5,9,4,0.0009509319132750095
114,5,10,5,0.0009509319132750095
115,8,9,1,0.0015214910612400153
116,10,11,1,0.001901863826550019
117,7,9,2,0.0013313046785850132
118,22,27,5,0.0041841004184100415
119,7,14,7,0.0013313046785850132
120,2,2,0,0.0003803727653100038
121,2,6,4,0.0003803727653100038
122,8,19,11,0.0015214910612400153
123,12,15,3,0.002282236591860023
124,2,7,5,0.0003803727653100038
125,11,23,12,0.0020920502092050207
126,3,9,6,0.0005705591479650057
127,15,19,4,0.0028527957398250285
128,14,16,2,0.0026626093571700264
129,19,20,1,0.0036135412704450362
130,4,9,5,0.0007607455306200076
131,8,12,4,0.0015214910612400153
