node,degree_x,degree_y,degree_increase,degree_prob_x
1,174,181,7,0.03309243058197033
2,183,183,0,0.034804108025865345
3,68,105,37,0.012932674020540129
4,78,109,31,0.014834537847090148
5,82,93,11,0.015595283377710156
6,79,113,34,0.01502472422974515
7,98,116,18,0.018638265500190185
8,105,129,24,0.0199695701787752
9,86,117,31,0.016356028908330163
10,76,93,17,0.014454165081780145
11,60,68,8,0.011411182959300114
12,80,83,3,0.015214910612400151
13,74,89,15,0.01407379231647014
14,52,76,24,0.0098896918980601
15,67,85,18,0.012742487637885127
16,131,133,2,0.02491441612780525
17,76,86,10,0.014454165081780145
18,91,116,25,0.017306960821605172
19,106,116,10,0.020159756561430202
20,56,96,40,0.010650437428680106
21,78,92,14,0.014834537847090148
22,102,122,20,0.019399011030810195
23,97,112,15,0.018448079117535186
24,149,149,0,0.028337771015595283
25,67,107,40,0.012742487637885127
26,69,90,21,0.013122860403195132
27,65,71,6,0.012362114872575124
28,61,108,47,0.011601369341955116
29,132,135,3,0.02510460251046025
30,141,141,0,0.026816279954355267
31,53,94,41,0.010079878280715101
32,75,88,13,0.014263978699125143
33,92,119,27,0.017497147204260176
34,95,108,13,0.018067706352225182
35,22,29,7,0.0041841004184100415
36,34,34,0,0.006466337010270064
37,33,34,1,0.006276150627615063
38,34,34,0,0.006466337010270064
39,34,34,0,0.006466337010270064
40,20,26,6,0.003803727653100038
41,34,34,0,0.006466337010270064
42,33,33,0,0.006276150627615063
43,34,34,0,0.006466337010270064
44,24,30,6,0.004564473183720046
45,34,34,0,0.006466337010270064
46,34,34,0,0.006466337010270064
47,34,34,0,0.006466337010270064
48,29,30,1,0.005515405096995055
49,23,29,6,0.004374286801065044
50,20,23,3,0.003803727653100038
51,34,34,0,0.006466337010270064
52,8,16,8,0.0015214910612400153
53,8,20,12,0.0015214910612400153
54,20,23,3,0.003803727653100038
55,6,17,11,0.0011411182959300114
56,26,27,1,0.00494484594903005
57,5,17,12,0.0009509319132750095
58,8,8,0,0.0015214910612400153
60,22,23,1,0.0041841004184100415
61,31,32,1,0.005895777862305059
62,6,20,14,0.0011411182959300114
63,25,30,5,0.004754659566375047
64,8,10,2,0.0015214910612400153
65,26,28,2,0.00494484594903005
66,25,30,5,0.004754659566375047
67,9,22,13,0.001711677443895017
68,8,21,13,0.0015214910612400153
69,19,23,4,0.0036135412704450362
70,22,24,2,0.0041841004184100415
71,7,21,14,0.0013313046785850132
72,9,17,8,0.001711677443895017
73,11,11,0,0.0020920502092050207
74,6,13,7,0.0011411182959300114
75,33,33,0,0.006276150627615063
76,34,34,0,0.006466337010270064
77,27,31,4,0.005135032331685051
78,34,34,0,0.006466337010270064
79,15,24,9,0.0028527957398250285
80,11,11,0,0.0020920502092050207
81,5,6,1,0.0009509319132750095
82,4,6,2,0.0007607455306200076
83,8,8,0,0.0015214910612400153
84,10,13,3,0.001901863826550019
85,12,12,0,0.002282236591860023
86,7,18,11,0.0013313046785850132
87,10,15,5,0.001901863826550019
88,11,12,1,0.0020920502092050207
89,5,9,4,0.0009509319132750095
90,20,23,3,0.003803727653100038
91,9,10,1,0.001711677443895017
92,2,6,4,0.0003803727653100038
93,8,13,5,0.0015214910612400153
94,12,12,0,0.002282236591860023
95,6,20,14,0.0011411182959300114
96,5,6,1,0.0009509319132750095
97,7,21,14,0.0013313046785850132
98,9,21,12,0.001711677443895017
99,10,16,6,0.001901863826550019
100,5,7,2,0.0009509319132750095
101,5,9,4,0.0009509319132750095
102,12,16,4,0.002282236591860023
103,10,10,0,0.001901863826550019
104,9,9,0,0.001711677443895017
105,13,16,3,0.002472422974515025
106,8,16,8,0.0015214910612400153
107,9,11,2,0.001711677443895017
108,6,9,3,0.0011411182959300114
109,9,10,1,0.001711677443895017
110,11,11,0,0.0020920502092050207
111,7,7,0,0.0013313046785850132
112,4,5,1,0.0007607455306200076
113,8,9,1,0.0015214910612400153
114,10,10,0,0.001901863826550019
115,9,9,0,0.001711677443895017
116,11,11,0,0.0020920502092050207
117,9,9,0,0.001711677443895017
118,26,27,1,0.00494484594903005
119,6,14,8,0.0011411182959300114
120,1,2,1,0.0001901863826550019
121,1,6,5,0.0001901863826550019
122,5,19,14,0.0009509319132750095
123,14,15,1,0.0026626093571700264
124,4,7,3,0.0007607455306200076
125,13,23,10,0.002472422974515025
126,9,9,0,0.001711677443895017
127,7,19,12,0.0013313046785850132
128,8,16,8,0.0015214910612400153
129,6,20,14,0.0011411182959300114
130,9,9,0,0.001711677443895017
131,10,12,2,0.001901863826550019
132,1,1,0,0.0001901863826550019
133,5,18,13,0.0009509319132750095
134,26,32,6,0.00494484594903005
135,8,8,0,0.0015214910612400153
136,5,20,15,0.0009509319132750095
137,9,16,7,0.001711677443895017
138,18,28,10,0.003423354887790034
139,19,25,6,0.0036135412704450362
140,23,28,5,0.004374286801065044
141,21,27,6,0.00399391403575504
142,11,13,2,0.0020920502092050207
143,12,16,4,0.002282236591860023
144,6,20,14,0.0011411182959300114
145,5,19,14,0.0009509319132750095
146,18,23,5,0.003423354887790034
147,9,13,4,0.001711677443895017
148,12,12,0,0.002282236591860023
149,9,11,2,0.001711677443895017
150,7,7,0,0.0013313046785850132
151,9,15,6,0.001711677443895017
152,4,6,2,0.0007607455306200076
153,10,14,4,0.001901863826550019
154,33,33,0,0.006276150627615063
155,5,8,3,0.0009509319132750095
156,24,24,0,0.004564473183720046
157,32,32,0,0.006085964244960061
158,28,32,4,0.005325218714340053
159,32,33,1,0.006085964244960061
160,5,7,2,0.0009509319132750095
