degree_x,node,degree_y,degree_increase,degree_prob_x,cummulative_increase
1,148.2,3.2,2.2,0.0001901863826550019,2.2
2,92.0,6.0,4.0,0.0003803727653100038,6.2
4,144.28571428571428,6.0,2.0,0.0007607455306200075,8.2
5,118.23076923076923,12.692307692307692,7.6923076923076925,0.0009509319132750097,15.892307692307693
6,119.81818181818181,14.272727272727273,8.272727272727273,0.0011411182959300116,24.165034965034966
7,133.4,12.6,5.6,0.0013313046785850132,29.765034965034964
8,105.64285714285714,12.357142857142858,4.357142857142857,0.0015214910612400153,34.12217782217782
9,118.0,12.75,3.75,0.0017116774438950164,37.87217782217782
10,110.14285714285714,12.857142857142858,2.857142857142857,0.0019018638265500193,40.72932067932067
11,101.5,11.5,0.5,0.0020920502092050207,41.22932067932067
12,114.4,13.6,1.6,0.0022822365918600232,42.82932067932067
13,115.0,19.5,6.5,0.002472422974515025,49.32932067932067
14,147.5,20.5,6.5,0.0026626093571700264,55.82932067932067
15,79.0,24.0,9.0,0.0028527957398250285,64.82932067932067
18,149.33333333333334,26.0,8.0,0.003423354887790034,72.82932067932067
19,127.33333333333333,24.666666666666668,5.666666666666667,0.003613541270445036,78.49598734598734
20,80.8,24.8,4.8,0.0038037276531000383,83.29598734598734
21,141.0,27.0,6.0,0.00399391403575504,89.29598734598734
22,81.5,26.25,4.25,0.0041841004184100415,93.54598734598734
23,118.66666666666667,29.666666666666668,6.666666666666667,0.004374286801065044,100.21265401265401
24,100.0,27.0,3.0,0.0045644731837200464,103.21265401265401
25,64.5,30.0,5.0,0.004754659566375047,108.21265401265401
26,93.25,28.5,2.5,0.00494484594903005,110.71265401265401
27,77.0,31.0,4.0,0.00513503233168505,114.71265401265401
28,164.5,32.0,4.0,0.005325218714340053,118.71265401265401
29,48.0,30.0,1.0,0.0055154050969950545,119.71265401265401
31,61.0,32.0,1.0,0.0058957778623050594,120.71265401265401
32,158.0,32.5,0.5,0.006085964244960061,121.21265401265401
33,119.85714285714286,33.142857142857146,0.14285714285714285,0.006276150627615064,121.35551115551115
34,49.09090909090909,34.0,0.0,0.006466337010270064,121.35551115551115
52,14.0,76.0,24.0,0.0098896918980601,145.35551115551115
53,31.0,94.0,41.0,0.0100798782807151,186.35551115551115
56,20.0,96.0,40.0,0.010650437428680106,226.35551115551115
60,11.0,68.0,8.0,0.011411182959300114,234.35551115551115
61,28.0,108.0,47.0,0.011601369341955116,281.3555111555112
65,27.0,71.0,6.0,0.012362114872575124,287.3555111555112
67,20.0,96.0,29.0,0.012742487637885129,316.3555111555112
68,3.0,105.0,37.0,0.012932674020540129,353.3555111555112
69,26.0,90.0,21.0,0.013122860403195132,374.3555111555112
74,13.0,89.0,15.0,0.01407379231647014,389.3555111555112
75,32.0,88.0,13.0,0.014263978699125143,402.3555111555112
76,13.5,89.5,13.5,0.014454165081780143,415.8555111555112
78,12.5,100.5,22.5,0.014834537847090146,438.3555111555112
79,6.0,113.0,34.0,0.01502472422974515,472.3555111555112
80,12.0,83.0,3.0,0.015214910612400153,475.3555111555112
82,5.0,93.0,11.0,0.015595283377710156,486.3555111555112
86,9.0,117.0,31.0,0.016356028908330163,517.3555111555112
91,18.0,116.0,25.0,0.017306960821605172,542.3555111555112
92,33.0,119.0,27.0,0.017497147204260176,569.3555111555112
95,34.0,108.0,13.0,0.018067706352225186,582.3555111555112
97,23.0,112.0,15.0,0.018448079117535186,597.3555111555112
98,7.0,116.0,18.0,0.018638265500190185,615.3555111555112
102,22.0,122.0,20.0,0.019399011030810195,635.3555111555112
105,8.0,129.0,24.0,0.0199695701787752,659.3555111555112
106,19.0,116.0,10.0,0.0201597565614302,669.3555111555112
131,16.0,133.0,2.0,0.02491441612780525,671.3555111555112
132,29.0,135.0,3.0,0.02510460251046025,674.3555111555112
141,30.0,141.0,0.0,0.02681627995435527,674.3555111555112
149,24.0,149.0,0.0,0.02833777101559528,674.3555111555112
174,1.0,181.0,7.0,0.03309243058197033,681.3555111555112
183,2.0,183.0,0.0,0.034804108025865345,681.3555111555112
