node,degree_x,degree_y,degree_increase,degree_prob_x
0,21,21,0,0.09210526315789473
1,3,3,0,0.013157894736842105
2,11,11,0,0.04824561403508772
3,9,9,0,0.039473684210526314
4,4,4,0,0.017543859649122806
5,18,18,0,0.07894736842105263
6,10,11,1,0.043859649122807015
7,5,5,0,0.021929824561403508
8,12,13,1,0.05263157894736842
9,22,22,0,0.09649122807017543
10,6,7,1,0.02631578947368421
11,10,11,1,0.043859649122807015
12,2,2,0,0.008771929824561403
13,4,4,0,0.017543859649122806
14,1,2,1,0.0043859649122807015
15,3,4,1,0.013157894736842105
16,2,2,0,0.008771929824561403
17,3,4,1,0.013157894736842105
18,8,9,1,0.03508771929824561
19,1,1,0,0.0043859649122807015
20,7,7,0,0.03070175438596491
21,4,4,0,0.017543859649122806
22,5,7,2,0.021929824561403508
23,6,6,0,0.02631578947368421
24,1,1,0,0.0043859649122807015
25,4,4,0,0.017543859649122806
26,5,5,0,0.021929824561403508
27,8,8,0,0.03508771929824561
28,2,2,0,0.008771929824561403
29,1,3,2,0.0043859649122807015
30,3,4,1,0.013157894736842105
31,2,2,0,0.008771929824561403
32,1,1,0,0.0043859649122807015
33,2,3,1,0.008771929824561403
34,1,1,0,0.0043859649122807015
35,2,4,2,0.008771929824561403
36,2,2,0,0.008771929824561403
37,1,1,0,0.0043859649122807015
38,3,3,0,0.013157894736842105
39,3,3,0,0.013157894736842105
40,1,1,0,0.0043859649122807015
41,2,3,1,0.008771929824561403
42,2,5,3,0.008771929824561403
43,2,2,0,0.008771929824561403
44,1,1,0,0.0043859649122807015
45,1,1,0,0.0043859649122807015
46,1,1,0,0.0043859649122807015
