degree_x,node,degree_y,degree_increase,degree_prob_x,cummulative_increase
1,430.2572347266881,1.1093247588424437,0.10932475884244373,0.00023201856148491923,0.10932475884244373
2,406.7062937062937,2.1468531468531467,0.14685314685314685,0.000464037122969837,0.25617790569559057
3,455.55172413793105,3.0344827586206895,0.034482758620689655,0.000696055684454757,0.29066066431628024
4,509.35555555555555,4.4222222222222225,0.4222222222222222,0.0009280742459396749,0.7128828865385024
5,427.9,5.233333333333333,0.23333333333333334,0.001160092807424594,0.9462162198718358
6,401.1304347826087,6.304347826086956,0.30434782608695654,0.0013921113689095122,1.2505640459587923
7,430.9,7.2,0.2,0.0016241299303944305,1.4505640459587923
8,397.6666666666667,8.0,0.0,0.0018561484918793501,1.4505640459587923
9,361.0,9.416666666666666,0.4166666666666667,0.0020881670533642693,1.867230712625459
10,489.92857142857144,10.5,0.5,0.002320185614849188,2.3672307126254593
11,411.4,12.0,1.0,0.002552204176334107,3.3672307126254593
12,328.42857142857144,12.428571428571429,0.42857142857142855,0.0027842227378190245,3.7958021411968876
13,583.5714285714286,14.0,1.0,0.003016241299303945,4.795802141196887
14,538.5,14.0,0.0,0.003248259860788863,4.795802141196887
15,413.8333333333333,15.333333333333334,0.3333333333333333,0.0034802784222737818,5.12913547453022
16,369.0,16.0,0.0,0.0037122969837587007,5.12913547453022
18,320.0,19.0,1.0,0.004176334106728539,6.12913547453022
19,191.66666666666666,19.666666666666668,0.6666666666666666,0.004408352668213457,6.795802141196887
20,411.0,23.0,3.0,0.004640371229698376,9.795802141196887
21,704.5,21.0,0.0,0.0048723897911832955,9.795802141196887
22,413.3333333333333,22.333333333333332,0.3333333333333333,0.0051044083526682145,10.129135474530221
23,510.0,23.2,0.2,0.0053364269141531325,10.32913547453022
24,199.5,24.0,0.0,0.005568445475638051,10.32913547453022
25,552.5,25.0,0.0,0.0058004640371229705,10.32913547453022
26,855.0,32.0,6.0,0.006032482598607889,16.32913547453022
28,499.0,28.0,0.0,0.006496519721577727,16.32913547453022
29,761.0,29.5,0.5,0.006728538283062645,16.82913547453022
32,402.5,32.0,0.0,0.007424593967517401,16.82913547453022
33,357.0,33.0,0.0,0.00765661252900232,16.82913547453022
34,629.5,34.0,0.0,0.007888631090487241,16.82913547453022
35,467.55555555555554,35.0,0.0,0.008120649651972156,16.82913547453022
36,441.5,36.0,0.0,0.008352668213457077,16.82913547453022
37,374.6,37.4,0.4,0.008584686774941995,17.229135474530217
39,754.5,39.0,0.0,0.009048723897911832,17.229135474530217
40,274.5,40.0,0.0,0.009280742459396751,17.229135474530217
42,222.0,42.0,0.0,0.009744779582366591,17.229135474530217
45,500.0,81.0,36.0,0.010440835266821344,53.22913547453022
62,474.0,63.0,1.0,0.014385150812064963,54.22913547453022
69,144.0,73.0,4.0,0.016009280742459397,58.22913547453022
