node,degree_x,degree_y,degree_increase,degree_prob_x
1,2,3,1,0.0005319148936170213
2,23,49,26,0.006117021276595745
3,4,11,7,0.0010638297872340426
6,3,6,3,0.0007978723404255319
9,1,6,5,0.00026595744680851064
10,2,2,0,0.0005319148936170213
11,5,6,1,0.0013297872340425532
16,4,11,7,0.0010638297872340426
19,2,10,8,0.0005319148936170213
21,3,7,4,0.0007978723404255319
23,2,6,4,0.0005319148936170213
26,5,9,4,0.0013297872340425532
27,15,26,11,0.003989361702127659
28,1,1,0,0.00026595744680851064
29,16,31,15,0.00425531914893617
30,1,1,0,0.00026595744680851064
31,6,17,11,0.0015957446808510637
32,3,3,0,0.0007978723404255319
33,3,3,0,0.0007978723404255319
34,10,34,24,0.0026595744680851063
36,2,5,3,0.0005319148936170213
40,2,9,7,0.0005319148936170213
41,1,5,4,0.00026595744680851064
43,7,9,2,0.0018617021276595746
44,33,47,14,0.008776595744680852
48,4,8,4,0.0010638297872340426
49,2,6,4,0.0005319148936170213
50,6,9,3,0.0015957446808510637
51,15,21,6,0.003989361702127659
53,2,14,12,0.0005319148936170213
54,6,8,2,0.0015957446808510637
58,4,5,1,0.0010638297872340426
59,1,3,2,0.00026595744680851064
60,1,3,2,0.00026595744680851064
63,11,29,18,0.002925531914893617
65,2,4,2,0.0005319148936170213
66,1,1,0,0.00026595744680851064
67,2,4,2,0.0005319148936170213
69,1,3,2,0.00026595744680851064
71,4,20,16,0.0010638297872340426
72,6,39,33,0.0015957446808510637
74,5,30,25,0.0013297872340425532
75,3,4,1,0.0007978723404255319
77,1,10,9,0.00026595744680851064
78,7,7,0,0.0018617021276595746
79,7,9,2,0.0018617021276595746
80,8,10,2,0.002127659574468085
81,2,3,1,0.0005319148936170213
82,2,3,1,0.0005319148936170213
84,10,14,4,0.0026595744680851063
85,1,2,1,0.00026595744680851064
87,1,1,0,0.00026595744680851064
88,6,6,0,0.0015957446808510637
91,2,5,3,0.0005319148936170213
93,4,7,3,0.0010638297872340426
94,2,11,9,0.0005319148936170213
96,1,1,0,0.00026595744680851064
102,10,10,0,0.0026595744680851063
103,14,15,1,0.003723404255319149
105,10,18,8,0.0026595744680851063
107,3,9,6,0.0007978723404255319
108,4,18,14,0.0010638297872340426
110,4,4,0,0.0010638297872340426
111,2,5,3,0.0005319148936170213
112,3,3,0,0.0007978723404255319
115,1,1,0,0.00026595744680851064
116,1,4,3,0.00026595744680851064
119,1,3,2,0.00026595744680851064
123,10,20,10,0.0026595744680851063
126,2,12,10,0.0005319148936170213
127,2,2,0,0.0005319148936170213
128,2,6,4,0.0005319148936170213
129,3,10,7,0.0007978723404255319
130,3,7,4,0.0007978723404255319
131,8,11,3,0.002127659574468085
132,4,8,4,0.0010638297872340426
133,3,3,0,0.0007978723404255319
134,9,14,5,0.0023936170212765957
135,1,1,0,0.00026595744680851064
136,21,40,19,0.005585106382978724
137,5,8,3,0.0013297872340425532
139,1,6,5,0.00026595744680851064
141,3,6,3,0.0007978723404255319
142,3,4,1,0.0007978723404255319
143,3,12,9,0.0007978723404255319
144,3,6,3,0.0007978723404255319
145,3,6,3,0.0007978723404255319
147,1,1,0,0.00026595744680851064
148,11,14,3,0.002925531914893617
