node,degree_x,degree_y,degree_increase,degree_prob_x
1,3,3,0,0.0007978723404255319
2,49,49,0,0.013031914893617021
3,11,11,0,0.002925531914893617
4,3,3,0,0.0007978723404255319
5,4,4,0,0.0010638297872340426
6,6,6,0,0.0015957446808510637
7,4,4,0,0.0010638297872340426
8,4,4,0,0.0010638297872340426
9,6,6,0,0.0015957446808510637
10,1,2,1,0.00026595744680851064
11,6,6,0,0.0015957446808510637
12,2,2,0,0.0005319148936170213
13,4,4,0,0.0010638297872340426
15,1,7,6,0.00026595744680851064
16,4,11,7,0.0010638297872340426
17,3,3,0,0.0007978723404255319
18,2,2,0,0.0005319148936170213
19,10,10,0,0.0026595744680851063
20,4,4,0,0.0010638297872340426
21,5,7,2,0.0013297872340425532
23,3,6,3,0.0007978723404255319
24,1,4,3,0.00026595744680851064
25,1,2,1,0.00026595744680851064
26,9,9,0,0.0023936170212765957
27,26,26,0,0.006914893617021276
29,31,31,0,0.00824468085106383
31,7,17,10,0.0018617021276595746
34,1,34,33,0.00026595744680851064
35,2,2,0,0.0005319148936170213
36,5,5,0,0.0013297872340425532
37,5,5,0,0.0013297872340425532
38,4,4,0,0.0010638297872340426
40,8,9,1,0.002127659574468085
41,5,5,0,0.0013297872340425532
42,2,2,0,0.0005319148936170213
43,9,9,0,0.0023936170212765957
44,47,47,0,0.0125
45,4,4,0,0.0010638297872340426
46,4,4,0,0.0010638297872340426
47,4,4,0,0.0010638297872340426
48,8,8,0,0.002127659574468085
49,6,6,0,0.0015957446808510637
50,5,9,4,0.0013297872340425532
51,21,21,0,0.005585106382978724
52,1,1,0,0.00026595744680851064
53,12,14,2,0.0031914893617021275
54,2,8,6,0.0005319148936170213
58,1,5,4,0.00026595744680851064
62,2,5,3,0.0005319148936170213
63,29,29,0,0.007712765957446808
64,1,1,0,0.00026595744680851064
65,4,4,0,0.0010638297872340426
66,1,1,0,0.00026595744680851064
67,2,4,2,0.0005319148936170213
68,1,2,1,0.00026595744680851064
69,3,3,0,0.0007978723404255319
70,1,1,0,0.00026595744680851064
71,2,20,18,0.0005319148936170213
72,6,39,33,0.0015957446808510637
74,13,30,17,0.003457446808510638
75,2,4,2,0.0005319148936170213
77,2,10,8,0.0005319148936170213
78,7,7,0,0.0018617021276595746
79,8,9,1,0.002127659574468085
80,7,10,3,0.0018617021276595746
81,3,3,0,0.0007978723404255319
82,3,3,0,0.0007978723404255319
83,2,2,0,0.0005319148936170213
84,14,14,0,0.003723404255319149
85,2,2,0,0.0005319148936170213
86,1,1,0,0.00026595744680851064
88,3,6,3,0.0007978723404255319
89,3,3,0,0.0007978723404255319
90,3,3,0,0.0007978723404255319
91,4,5,1,0.0010638297872340426
92,1,1,0,0.00026595744680851064
93,6,7,1,0.0015957446808510637
94,11,11,0,0.002925531914893617
95,2,2,0,0.0005319148936170213
96,1,1,0,0.00026595744680851064
100,1,1,0,0.00026595744680851064
101,1,2,1,0.00026595744680851064
106,1,4,3,0.00026595744680851064
107,2,9,7,0.0005319148936170213
108,14,18,4,0.003723404255319149
109,1,2,1,0.00026595744680851064
110,3,4,1,0.0007978723404255319
111,1,5,4,0.00026595744680851064
115,1,1,0,0.00026595744680851064
116,4,4,0,0.0010638297872340426
117,2,3,1,0.0005319148936170213
118,1,3,2,0.00026595744680851064
119,3,3,0,0.0007978723404255319
120,2,2,0,0.0005319148936170213
121,1,1,0,0.00026595744680851064
122,5,5,0,0.0013297872340425532
123,20,20,0,0.005319148936170213
125,1,4,3,0.00026595744680851064
127,2,2,0,0.0005319148936170213
128,5,6,1,0.0013297872340425532
129,5,10,5,0.0013297872340425532
130,1,7,6,0.00026595744680851064
131,11,11,0,0.002925531914893617
132,8,8,0,0.002127659574468085
133,3,3,0,0.0007978723404255319
134,14,14,0,0.003723404255319149
135,1,1,0,0.00026595744680851064
136,34,40,6,0.009042553191489361
137,2,8,6,0.0005319148936170213
138,2,2,0,0.0005319148936170213
139,6,6,0,0.0015957446808510637
143,10,12,2,0.0026595744680851063
144,4,6,2,0.0010638297872340426
145,3,6,3,0.0007978723404255319
146,6,10,4,0.0015957446808510637
147,1,1,0,0.00026595744680851064
148,14,14,0,0.003723404255319149
149,2,2,0,0.0005319148936170213
151,1,1,0,0.00026595744680851064
152,4,4,0,0.0010638297872340426
156,8,16,8,0.002127659574468085
157,1,1,0,0.00026595744680851064
158,4,4,0,0.0010638297872340426
160,1,8,7,0.00026595744680851064
164,2,2,0,0.0005319148936170213
165,8,8,0,0.002127659574468085
166,3,3,0,0.0007978723404255319
167,3,3,0,0.0007978723404255319
168,2,2,0,0.0005319148936170213
169,4,4,0,0.0010638297872340426
170,4,4,0,0.0010638297872340426
178,2,3,1,0.0005319148936170213
180,3,4,1,0.0007978723404255319
182,4,4,0,0.0010638297872340426
183,5,7,2,0.0013297872340425532
185,1,1,0,0.00026595744680851064
186,3,3,0,0.0007978723404255319
187,9,9,0,0.0023936170212765957
189,2,12,10,0.0005319148936170213
191,2,6,4,0.0005319148936170213
193,1,2,1,0.00026595744680851064
194,2,2,0,0.0005319148936170213
195,3,4,1,0.0007978723404255319
196,2,2,0,0.0005319148936170213
198,2,7,5,0.0005319148936170213
199,5,5,0,0.0013297872340425532
200,1,1,0,0.00026595744680851064
202,2,3,1,0.0005319148936170213
204,1,9,8,0.00026595744680851064
207,2,6,4,0.0005319148936170213
208,6,6,0,0.0015957446808510637
209,1,5,4,0.00026595744680851064
213,4,4,0,0.0010638297872340426
214,4,4,0,0.0010638297872340426
216,5,5,0,0.0013297872340425532
217,5,5,0,0.0013297872340425532
218,2,2,0,0.0005319148936170213
219,8,8,0,0.002127659574468085
220,3,4,1,0.0007978723404255319
221,4,4,0,0.0010638297872340426
222,3,3,0,0.0007978723404255319
223,3,3,0,0.0007978723404255319
224,3,3,0,0.0007978723404255319
225,1,2,1,0.00026595744680851064
226,4,6,2,0.0010638297872340426
227,1,2,1,0.00026595744680851064
230,5,5,0,0.0013297872340425532
231,5,5,0,0.0013297872340425532
232,5,5,0,0.0013297872340425532
233,8,8,0,0.002127659574468085
234,1,1,0,0.00026595744680851064
235,5,5,0,0.0013297872340425532
236,7,7,0,0.0018617021276595746
237,40,40,0,0.010638297872340425
238,1,1,0,0.00026595744680851064
239,14,20,6,0.003723404255319149
240,1,1,0,0.00026595744680851064
241,6,9,3,0.0015957446808510637
242,15,15,0,0.003989361702127659
243,1,1,0,0.00026595744680851064
244,10,13,3,0.0026595744680851063
246,2,6,4,0.0005319148936170213
247,1,1,0,0.00026595744680851064
248,6,6,0,0.0015957446808510637
255,2,4,2,0.0005319148936170213
257,2,2,0,0.0005319148936170213
258,17,19,2,0.0045212765957446804
259,1,5,4,0.00026595744680851064
262,1,7,6,0.00026595744680851064
265,2,6,4,0.0005319148936170213
267,1,1,0,0.00026595744680851064
268,15,20,5,0.003989361702127659
270,4,6,2,0.0010638297872340426
273,2,3,1,0.0005319148936170213
274,2,3,1,0.0005319148936170213
276,1,1,0,0.00026595744680851064
277,5,5,0,0.0013297872340425532
278,1,1,0,0.00026595744680851064
279,14,14,0,0.003723404255319149
280,2,3,1,0.0005319148936170213
281,1,1,0,0.00026595744680851064
282,3,3,0,0.0007978723404255319
283,3,3,0,0.0007978723404255319
287,1,1,0,0.00026595744680851064
288,10,15,5,0.0026595744680851063
289,1,11,10,0.00026595744680851064
290,7,25,18,0.0018617021276595746
293,2,4,2,0.0005319148936170213
296,2,6,4,0.0005319148936170213
298,1,8,7,0.00026595744680851064
299,8,9,1,0.002127659574468085
300,3,6,3,0.0007978723404255319
303,2,2,0,0.0005319148936170213
305,2,2,0,0.0005319148936170213
306,1,1,0,0.00026595744680851064
307,5,5,0,0.0013297872340425532
308,9,10,1,0.0023936170212765957
309,3,3,0,0.0007978723404255319
310,2,3,1,0.0005319148936170213
311,3,3,0,0.0007978723404255319
312,1,3,2,0.00026595744680851064
313,3,3,0,0.0007978723404255319
314,2,2,0,0.0005319148936170213
315,3,7,4,0.0007978723404255319
316,1,11,10,0.00026595744680851064
317,9,9,0,0.0023936170212765957
318,1,1,0,0.00026595744680851064
320,2,2,0,0.0005319148936170213
321,7,7,0,0.0018617021276595746
323,3,3,0,0.0007978723404255319
324,3,3,0,0.0007978723404255319
325,2,2,0,0.0005319148936170213
331,12,20,8,0.0031914893617021275
333,2,4,2,0.0005319148936170213
334,4,4,0,0.0010638297872340426
336,1,5,4,0.00026595744680851064
338,4,12,8,0.0010638297872340426
339,1,6,5,0.00026595744680851064
343,1,4,3,0.00026595744680851064
345,4,4,0,0.0010638297872340426
350,2,2,0,0.0005319148936170213
351,1,3,2,0.00026595744680851064
353,3,3,0,0.0007978723404255319
354,3,3,0,0.0007978723404255319
355,6,6,0,0.0015957446808510637
356,14,14,0,0.003723404255319149
357,6,6,0,0.0015957446808510637
358,5,5,0,0.0013297872340425532
359,7,7,0,0.0018617021276595746
360,8,8,0,0.002127659574468085
361,3,7,4,0.0007978723404255319
362,9,22,13,0.0023936170212765957
367,1,2,1,0.00026595744680851064
369,1,1,0,0.00026595744680851064
370,3,3,0,0.0007978723404255319
371,6,6,0,0.0015957446808510637
372,2,2,0,0.0005319148936170213
373,3,3,0,0.0007978723404255319
374,1,4,3,0.00026595744680851064
375,1,4,3,0.00026595744680851064
376,1,4,3,0.00026595744680851064
377,1,4,3,0.00026595744680851064
378,1,2,1,0.00026595744680851064
379,1,11,10,0.00026595744680851064
381,2,5,3,0.0005319148936170213
382,2,3,1,0.0005319148936170213
383,4,4,0,0.0010638297872340426
384,2,2,0,0.0005319148936170213
385,9,9,0,0.0023936170212765957
386,2,2,0,0.0005319148936170213
387,2,2,0,0.0005319148936170213
388,10,12,2,0.0026595744680851063
389,3,3,0,0.0007978723404255319
390,1,2,1,0.00026595744680851064
391,3,4,1,0.0007978723404255319
395,2,3,1,0.0005319148936170213
396,5,19,14,0.0013297872340425532
398,1,1,0,0.00026595744680851064
400,1,10,9,0.00026595744680851064
402,1,5,4,0.00026595744680851064
404,8,10,2,0.002127659574468085
406,4,5,1,0.0010638297872340426
407,4,4,0,0.0010638297872340426
408,3,3,0,0.0007978723404255319
409,1,2,1,0.00026595744680851064
410,1,10,9,0.00026595744680851064
411,8,8,0,0.002127659574468085
412,6,6,0,0.0015957446808510637
413,6,6,0,0.0015957446808510637
414,1,1,0,0.00026595744680851064
415,1,4,3,0.00026595744680851064
416,1,1,0,0.00026595744680851064
417,1,1,0,0.00026595744680851064
418,2,2,0,0.0005319148936170213
419,10,10,0,0.0026595744680851063
420,3,7,4,0.0007978723404255319
421,4,4,0,0.0010638297872340426
422,1,2,1,0.00026595744680851064
423,1,5,4,0.00026595744680851064
424,2,2,0,0.0005319148936170213
425,3,3,0,0.0007978723404255319
429,1,1,0,0.00026595744680851064
430,5,5,0,0.0013297872340425532
431,2,2,0,0.0005319148936170213
432,3,3,0,0.0007978723404255319
433,1,3,2,0.00026595744680851064
435,7,7,0,0.0018617021276595746
436,7,7,0,0.0018617021276595746
437,1,1,0,0.00026595744680851064
438,15,15,0,0.003989361702127659
442,1,6,5,0.00026595744680851064
445,1,3,2,0.00026595744680851064
449,1,1,0,0.00026595744680851064
450,5,5,0,0.0013297872340425532
451,6,10,4,0.0015957446808510637
452,7,7,0,0.0018617021276595746
453,3,3,0,0.0007978723404255319
454,2,4,2,0.0005319148936170213
458,1,2,1,0.00026595744680851064
460,7,7,0,0.0018617021276595746
461,3,3,0,0.0007978723404255319
462,8,8,0,0.002127659574468085
465,4,4,0,0.0010638297872340426
466,3,3,0,0.0007978723404255319
467,5,6,1,0.0013297872340425532
468,7,7,0,0.0018617021276595746
469,1,1,0,0.00026595744680851064
470,1,1,0,0.00026595744680851064
472,2,3,1,0.0005319148936170213
473,3,4,1,0.0007978723404255319
474,3,8,5,0.0007978723404255319
475,13,20,7,0.003457446808510638
479,1,1,0,0.00026595744680851064
481,1,1,0,0.00026595744680851064
488,10,12,2,0.0026595744680851063
490,3,3,0,0.0007978723404255319
491,4,4,0,0.0010638297872340426
492,4,4,0,0.0010638297872340426
493,4,4,0,0.0010638297872340426
494,4,4,0,0.0010638297872340426
495,9,10,1,0.0023936170212765957
496,1,1,0,0.00026595744680851064
497,3,3,0,0.0007978723404255319
498,3,3,0,0.0007978723404255319
499,1,1,0,0.00026595744680851064
