node,degree_x,degree_y,degree_increase,degree_prob_x
1,3,3,0,0.006521739130434782
2,2,2,0,0.004347826086956522
3,3,4,1,0.006521739130434782
4,2,3,1,0.004347826086956522
5,6,16,10,0.013043478260869565
6,8,21,13,0.017391304347826087
7,6,16,10,0.013043478260869565
8,9,10,1,0.01956521739130435
9,1,1,0,0.002173913043478261
10,1,1,0,0.002173913043478261
11,4,4,0,0.008695652173913044
12,4,5,1,0.008695652173913044
13,4,5,1,0.008695652173913044
14,1,1,0,0.002173913043478261
15,5,7,2,0.010869565217391304
16,3,4,1,0.006521739130434782
17,8,16,8,0.017391304347826087
18,4,4,0,0.008695652173913044
19,3,3,0,0.006521739130434782
20,3,4,1,0.006521739130434782
21,1,2,1,0.002173913043478261
22,5,8,3,0.010869565217391304
23,1,1,0,0.002173913043478261
24,8,12,4,0.017391304347826087
25,3,3,0,0.006521739130434782
26,4,7,3,0.008695652173913044
27,4,5,1,0.008695652173913044
28,5,5,0,0.010869565217391304
29,17,26,9,0.03695652173913044
30,6,6,0,0.013043478260869565
31,2,2,0,0.004347826086956522
32,2,2,0,0.004347826086956522
33,2,2,0,0.004347826086956522
34,3,3,0,0.006521739130434782
35,4,6,2,0.008695652173913044
36,1,1,0,0.002173913043478261
37,4,4,0,0.008695652173913044
38,2,2,0,0.004347826086956522
39,1,1,0,0.002173913043478261
40,4,5,1,0.008695652173913044
41,1,1,0,0.002173913043478261
42,1,4,3,0.002173913043478261
44,6,6,0,0.013043478260869565
45,6,7,1,0.013043478260869565
46,6,6,0,0.013043478260869565
47,20,30,10,0.043478260869565216
48,1,6,5,0.002173913043478261
49,1,2,1,0.002173913043478261
50,6,6,0,0.013043478260869565
51,1,1,0,0.002173913043478261
52,2,7,5,0.004347826086956522
53,3,4,1,0.006521739130434782
54,3,3,0,0.006521739130434782
55,3,5,2,0.006521739130434782
56,3,4,1,0.006521739130434782
57,6,9,3,0.013043478260869565
58,4,4,0,0.008695652173913044
59,4,4,0,0.008695652173913044
60,1,1,0,0.002173913043478261
62,2,6,4,0.004347826086956522
63,3,3,0,0.006521739130434782
64,3,4,1,0.006521739130434782
65,6,6,0,0.013043478260869565
67,2,2,0,0.004347826086956522
68,3,3,0,0.006521739130434782
69,3,3,0,0.006521739130434782
70,5,7,2,0.010869565217391304
71,6,8,2,0.013043478260869565
72,2,4,2,0.004347826086956522
73,1,1,0,0.002173913043478261
76,2,2,0,0.004347826086956522
77,1,2,1,0.002173913043478261
78,2,2,0,0.004347826086956522
79,1,1,0,0.002173913043478261
80,3,6,3,0.006521739130434782
82,2,6,4,0.004347826086956522
83,2,2,0,0.004347826086956522
84,1,1,0,0.002173913043478261
85,1,1,0,0.002173913043478261
86,2,2,0,0.004347826086956522
87,5,5,0,0.010869565217391304
88,2,2,0,0.004347826086956522
89,3,3,0,0.006521739130434782
90,1,1,0,0.002173913043478261
91,2,7,5,0.004347826086956522
92,2,5,3,0.004347826086956522
93,2,4,2,0.004347826086956522
94,6,8,2,0.013043478260869565
96,2,2,0,0.004347826086956522
97,3,5,2,0.006521739130434782
98,1,1,0,0.002173913043478261
99,2,3,1,0.004347826086956522
101,4,4,0,0.008695652173913044
102,3,3,0,0.006521739130434782
103,1,1,0,0.002173913043478261
104,6,7,1,0.013043478260869565
105,2,3,1,0.004347826086956522
106,2,3,1,0.004347826086956522
107,1,1,0,0.002173913043478261
108,2,5,3,0.004347826086956522
109,2,4,2,0.004347826086956522
110,2,2,0,0.004347826086956522
111,6,7,1,0.013043478260869565
112,2,2,0,0.004347826086956522
114,1,1,0,0.002173913043478261
117,3,4,1,0.006521739130434782
119,6,6,0,0.013043478260869565
128,2,4,2,0.004347826086956522
143,2,5,3,0.004347826086956522
153,4,5,1,0.008695652173913044
155,2,2,0,0.004347826086956522
156,2,2,0,0.004347826086956522
157,7,7,0,0.015217391304347827
162,2,2,0,0.004347826086956522
167,3,5,2,0.006521739130434782
184,7,7,0,0.015217391304347827
186,1,1,0,0.002173913043478261
189,1,1,0,0.002173913043478261
190,1,1,0,0.002173913043478261
191,3,3,0,0.006521739130434782
192,2,2,0,0.004347826086956522
193,2,2,0,0.004347826086956522
194,5,5,0,0.010869565217391304
195,3,3,0,0.006521739130434782
197,2,2,0,0.004347826086956522
198,4,4,0,0.008695652173913044
199,2,2,0,0.004347826086956522
200,3,3,0,0.006521739130434782
201,2,2,0,0.004347826086956522
202,1,1,0,0.002173913043478261
204,1,1,0,0.002173913043478261
205,1,1,0,0.002173913043478261
206,1,1,0,0.002173913043478261
207,3,3,0,0.006521739130434782
208,3,3,0,0.006521739130434782
209,2,2,0,0.004347826086956522
210,1,1,0,0.002173913043478261
213,3,3,0,0.006521739130434782
214,3,3,0,0.006521739130434782
215,1,1,0,0.002173913043478261
216,3,3,0,0.006521739130434782
218,2,2,0,0.004347826086956522
219,2,2,0,0.004347826086956522
220,1,2,1,0.002173913043478261
221,3,3,0,0.006521739130434782
224,3,3,0,0.006521739130434782
