degree_x,node,degree_y,degree_increase,degree_prob_x,cummulative_increase
1,123.27777777777777,2.5555555555555554,1.5555555555555556,0.0021739130434782618,1.5555555555555556
2,116.45945945945945,2.72972972972973,0.7297297297297297,0.0043478260869565235,2.285285285285285
3,100.3913043478261,3.869565217391304,0.8695652173913043,0.006521739130434782,3.1548505026765894
4,83.15,5.3,1.3,0.008695652173913045,4.45485050267659
5,96.54545454545455,5.7272727272727275,0.7272727272727273,0.010869565217391302,5.182123229949317
6,69.5,6.0,0.0,0.013043478260869565,5.182123229949317
7,128.66666666666666,7.0,0.0,0.015217391304347828,5.182123229949317
12,24.0,12.0,0.0,0.026086956521739132,5.182123229949317
13,5.0,16.0,3.0,0.028260869565217388,8.182123229949317
15,17.0,16.0,1.0,0.03260869565217391,9.182123229949317
16,6.0,21.0,5.0,0.034782608695652174,14.182123229949317
19,47.0,30.0,11.0,0.04130434782608696,25.18212322994932
26,29.0,26.0,0.0,0.056521739130434775,25.18212322994932
