node,degree_x,degree_y,degree_increase,degree_prob_x
2,2,5,3,0.0011337868480725624
5,5,12,7,0.002834467120181406
6,9,20,11,0.00510204081632653
8,3,4,1,0.0017006802721088435
9,2,5,3,0.0011337868480725624
10,3,6,3,0.0017006802721088435
11,2,3,1,0.0011337868480725624
14,24,42,18,0.013605442176870748
17,1,3,2,0.0005668934240362812
20,2,5,3,0.0011337868480725624
22,16,45,29,0.009070294784580499
36,2,3,1,0.0011337868480725624
39,1,7,6,0.0005668934240362812
41,4,12,8,0.0022675736961451248
42,2,4,2,0.0011337868480725624
45,1,3,2,0.0005668934240362812
46,5,9,4,0.002834467120181406
47,2,2,0,0.0011337868480725624
48,4,9,5,0.0022675736961451248
50,1,1,0,0.0005668934240362812
54,2,23,21,0.0011337868480725624
57,1,5,4,0.0005668934240362812
58,4,5,1,0.0022675736961451248
60,1,3,2,0.0005668934240362812
61,3,19,16,0.0017006802721088435
63,4,10,6,0.0022675736961451248
67,7,8,1,0.003968253968253968
69,6,6,0,0.003401360544217687
72,7,10,3,0.003968253968253968
73,10,13,3,0.005668934240362812
76,4,9,5,0.0022675736961451248
80,3,3,0,0.0017006802721088435
86,7,10,3,0.003968253968253968
88,2,3,1,0.0011337868480725624
89,3,3,0,0.0017006802721088435
91,14,21,7,0.007936507936507936
92,7,14,7,0.003968253968253968
94,14,23,9,0.007936507936507936
99,1,4,3,0.0005668934240362812
101,1,5,4,0.0005668934240362812
103,4,5,1,0.0022675736961451248
104,5,14,9,0.002834467120181406
109,2,6,4,0.0011337868480725624
111,2,8,6,0.0011337868480725624
117,13,32,19,0.007369614512471655
122,5,11,6,0.002834467120181406
126,4,25,21,0.0022675736961451248
129,18,29,11,0.01020408163265306
130,5,11,6,0.002834467120181406
133,1,5,4,0.0005668934240362812
137,2,7,5,0.0011337868480725624
139,5,12,7,0.002834467120181406
143,6,21,15,0.003401360544217687
145,2,12,10,0.0011337868480725624
153,1,5,4,0.0005668934240362812
156,4,5,1,0.0022675736961451248
157,3,10,7,0.0017006802721088435
160,3,6,3,0.0017006802721088435
161,1,3,2,0.0005668934240362812
162,1,2,1,0.0005668934240362812
166,12,16,4,0.006802721088435374
167,6,9,3,0.003401360544217687
170,2,6,4,0.0011337868480725624
172,1,5,4,0.0005668934240362812
182,2,8,6,0.0011337868480725624
187,3,7,4,0.0017006802721088435
193,4,7,3,0.0022675736961451248
198,1,3,2,0.0005668934240362812
200,7,10,3,0.003968253968253968
204,1,1,0,0.0005668934240362812
210,1,2,1,0.0005668934240362812
212,2,6,4,0.0011337868480725624
214,12,19,7,0.006802721088435374
225,5,6,1,0.002834467120181406
228,2,4,2,0.0011337868480725624
230,1,2,1,0.0005668934240362812
231,2,7,5,0.0011337868480725624
232,2,3,1,0.0011337868480725624
239,4,9,5,0.0022675736961451248
241,1,3,2,0.0005668934240362812
248,12,21,9,0.006802721088435374
250,8,10,2,0.0045351473922902496
251,4,9,5,0.0022675736961451248
252,1,3,2,0.0005668934240362812
254,2,2,0,0.0011337868480725624
255,10,14,4,0.005668934240362812
259,2,6,4,0.0011337868480725624
261,1,2,1,0.0005668934240362812
263,2,3,1,0.0011337868480725624
264,2,2,0,0.0011337868480725624
267,3,5,2,0.0017006802721088435
268,1,4,3,0.0005668934240362812
270,14,19,5,0.007936507936507936
271,2,2,0,0.0011337868480725624
285,1,1,0,0.0005668934240362812
287,7,16,9,0.003968253968253968
289,2,6,4,0.0011337868480725624
292,5,5,0,0.002834467120181406
297,1,3,2,0.0005668934240362812
298,4,4,0,0.0022675736961451248
299,4,9,5,0.0022675736961451248
300,1,4,3,0.0005668934240362812
309,10,14,4,0.005668934240362812
311,9,15,6,0.00510204081632653
316,5,7,2,0.002834467120181406
319,1,3,2,0.0005668934240362812
320,7,7,0,0.003968253968253968
321,1,2,1,0.0005668934240362812
322,1,2,1,0.0005668934240362812
323,6,6,0,0.003401360544217687
325,6,7,1,0.003401360544217687
326,3,4,1,0.0017006802721088435
328,1,7,6,0.0005668934240362812
329,2,2,0,0.0011337868480725624
331,4,4,0,0.0022675736961451248
332,4,5,1,0.0022675736961451248
334,2,3,1,0.0011337868480725624
335,12,19,7,0.006802721088435374
337,1,3,2,0.0005668934240362812
338,2,2,0,0.0011337868480725624
340,7,10,3,0.003968253968253968
341,3,5,2,0.0017006802721088435
342,1,3,2,0.0005668934240362812
346,3,3,0,0.0017006802721088435
347,13,14,1,0.007369614512471655
348,9,9,0,0.00510204081632653
349,3,3,0,0.0017006802721088435
351,4,11,7,0.0022675736961451248
352,1,8,7,0.0005668934240362812
353,1,1,0,0.0005668934240362812
354,2,3,1,0.0011337868480725624
356,3,5,2,0.0017006802721088435
357,2,6,4,0.0011337868480725624
359,5,6,1,0.002834467120181406
360,7,10,3,0.003968253968253968
361,4,5,1,0.0022675736961451248
362,1,4,3,0.0005668934240362812
363,1,2,1,0.0005668934240362812
368,2,4,2,0.0011337868480725624
369,2,5,3,0.0011337868480725624
370,3,4,1,0.0017006802721088435
374,5,6,1,0.002834467120181406
375,4,4,0,0.0022675736961451248
376,1,1,0,0.0005668934240362812
378,1,10,9,0.0005668934240362812
380,4,5,1,0.0022675736961451248
381,1,3,2,0.0005668934240362812
383,2,7,5,0.0011337868480725624
384,3,12,9,0.0017006802721088435
387,1,1,0,0.0005668934240362812
389,5,6,1,0.002834467120181406
390,4,4,0,0.0022675736961451248
391,1,1,0,0.0005668934240362812
392,2,2,0,0.0011337868480725624
393,2,3,1,0.0011337868480725624
394,5,9,4,0.002834467120181406
395,1,2,1,0.0005668934240362812
396,3,9,6,0.0017006802721088435
398,6,10,4,0.003401360544217687
399,6,7,1,0.003401360544217687
400,1,2,1,0.0005668934240362812
402,1,5,4,0.0005668934240362812
404,1,6,5,0.0005668934240362812
406,2,2,0,0.0011337868480725624
407,1,12,11,0.0005668934240362812
408,2,2,0,0.0011337868480725624
411,11,11,0,0.006235827664399093
412,7,9,2,0.003968253968253968
413,1,1,0,0.0005668934240362812
414,2,5,3,0.0011337868480725624
415,1,3,2,0.0005668934240362812
418,2,3,1,0.0011337868480725624
427,1,12,11,0.0005668934240362812
436,3,3,0,0.0017006802721088435
439,16,22,6,0.009070294784580499
450,2,3,1,0.0011337868480725624
456,1,4,3,0.0005668934240362812
457,4,4,0,0.0022675736961451248
461,2,5,3,0.0011337868480725624
464,1,2,1,0.0005668934240362812
468,2,8,6,0.0011337868480725624
470,3,8,5,0.0017006802721088435
471,8,21,13,0.0045351473922902496
475,2,3,1,0.0011337868480725624
476,4,4,0,0.0022675736961451248
485,3,10,7,0.0017006802721088435
488,1,1,0,0.0005668934240362812
491,5,9,4,0.002834467120181406
492,1,1,0,0.0005668934240362812
502,2,5,3,0.0011337868480725624
503,3,3,0,0.0017006802721088435
508,3,4,1,0.0017006802721088435
