degree_x,node,degree_y,degree_increase,degree_prob_x,cummulative_increase
1,224.0710659898477,1.1878172588832487,0.18781725888324874,0.001050420168067225,0.18781725888324874
2,218.7530864197531,2.3580246913580245,0.35802469135802467,0.002100840336134454,0.5458419502412735
3,243.4814814814815,3.388888888888889,0.3888888888888889,0.0031512605042016795,0.9347308391301623
4,229.73333333333332,4.4,0.4,0.004201680672268907,1.3347308391301622
5,263.76190476190476,5.666666666666667,0.6666666666666666,0.005252100840336133,2.0013975057968287
6,323.875,6.5,0.5,0.006302521008403361,2.5013975057968287
7,190.25,7.0,0.0,0.007352941176470587,2.5013975057968287
8,160.0,13.5,5.5,0.008403361344537815,8.00139750579683
9,231.75,12.0,3.0,0.009453781512605041,11.00139750579683
10,31.0,15.5,5.5,0.01050420168067227,16.50139750579683
13,457.0,19.0,6.0,0.01365546218487395,22.50139750579683
17,108.0,28.0,11.0,0.017857142857142856,33.50139750579683
28,146.0,31.0,3.0,0.029411764705882356,36.50139750579683
