node,degree_x,degree_y,degree_increase,degree_prob_x
2,1,1,0,0.00022988505747126436
3,2,3,1,0.0004597701149425287
4,1,1,0,0.00022988505747126436
5,2,2,0,0.0004597701149425287
6,11,11,0,0.002528735632183908
7,1,1,0,0.00022988505747126436
8,2,5,3,0.0004597701149425287
9,1,8,7,0.00022988505747126436
10,1,1,0,0.00022988505747126436
11,1,4,3,0.00022988505747126436
12,2,2,0,0.0004597701149425287
13,1,1,0,0.00022988505747126436
14,1,1,0,0.00022988505747126436
15,2,2,0,0.0004597701149425287
16,1,1,0,0.00022988505747126436
17,2,2,0,0.0004597701149425287
19,1,1,0,0.00022988505747126436
20,1,1,0,0.00022988505747126436
21,1,1,0,0.00022988505747126436
22,2,2,0,0.0004597701149425287
25,4,4,0,0.0009195402298850574
26,8,11,3,0.0018390804597701149
27,1,3,2,0.00022988505747126436
28,1,1,0,0.00022988505747126436
30,1,1,0,0.00022988505747126436
31,1,1,0,0.00022988505747126436
32,1,2,1,0.00022988505747126436
33,1,1,0,0.00022988505747126436
34,3,3,0,0.000689655172413793
35,2,2,0,0.0004597701149425287
36,1,1,0,0.00022988505747126436
37,2,2,0,0.0004597701149425287
38,2,2,0,0.0004597701149425287
39,4,4,0,0.0009195402298850574
40,2,2,0,0.0004597701149425287
43,3,3,0,0.000689655172413793
44,6,16,10,0.001379310344827586
45,3,3,0,0.000689655172413793
46,7,7,0,0.0016091954022988506
47,1,1,0,0.00022988505747126436
48,14,14,0,0.003218390804597701
49,1,1,0,0.00022988505747126436
50,1,1,0,0.00022988505747126436
51,1,1,0,0.00022988505747126436
52,2,2,0,0.0004597701149425287
53,1,1,0,0.00022988505747126436
54,1,1,0,0.00022988505747126436
55,1,1,0,0.00022988505747126436
56,1,1,0,0.00022988505747126436
57,4,15,11,0.0009195402298850574
58,1,1,0,0.00022988505747126436
59,16,24,8,0.0036781609195402297
60,4,4,0,0.0009195402298850574
61,2,2,0,0.0004597701149425287
62,4,5,1,0.0009195402298850574
63,1,1,0,0.00022988505747126436
64,8,12,4,0.0018390804597701149
66,3,3,0,0.000689655172413793
67,1,1,0,0.00022988505747126436
68,5,5,0,0.0011494252873563218
69,2,2,0,0.0004597701149425287
70,1,1,0,0.00022988505747126436
72,1,1,0,0.00022988505747126436
73,3,3,0,0.000689655172413793
