node,degree_x,degree_y,degree_increase,degree_prob_x
2,3,6,3,0.003006012024048096
3,1,5,4,0.001002004008016032
6,2,2,0,0.002004008016032064
7,2,2,0,0.002004008016032064
8,16,16,0,0.01603206412825651
9,6,9,3,0.006012024048096192
10,2,2,0,0.002004008016032064
11,33,33,0,0.033066132264529056
13,6,6,0,0.006012024048096192
14,6,6,0,0.006012024048096192
15,9,17,8,0.009018036072144289
21,5,5,0,0.00501002004008016
22,2,2,0,0.002004008016032064
23,2,2,0,0.002004008016032064
24,7,7,0,0.0070140280561122245
30,4,33,29,0.004008016032064128
33,4,4,0,0.004008016032064128
35,4,4,0,0.004008016032064128
36,1,1,0,0.001002004008016032
40,2,10,8,0.002004008016032064
41,2,4,2,0.002004008016032064
42,3,4,1,0.003006012024048096
43,8,8,0,0.008016032064128256
47,1,3,2,0.001002004008016032
48,1,1,0,0.001002004008016032
50,25,29,4,0.025050100200400802
51,1,1,0,0.001002004008016032
52,9,13,4,0.009018036072144289
53,3,4,1,0.003006012024048096
54,4,11,7,0.004008016032064128
55,4,4,0,0.004008016032064128
62,1,8,7,0.001002004008016032
65,2,2,0,0.002004008016032064
66,1,1,0,0.001002004008016032
81,2,2,0,0.002004008016032064
82,2,2,0,0.002004008016032064
83,1,1,0,0.001002004008016032
84,8,8,0,0.008016032064128256
85,1,1,0,0.001002004008016032
98,1,1,0,0.001002004008016032
101,1,2,1,0.001002004008016032
102,2,2,0,0.002004008016032064
104,1,1,0,0.001002004008016032
105,1,1,0,0.001002004008016032
110,3,6,3,0.003006012024048096
114,1,1,0,0.001002004008016032
115,4,5,1,0.004008016032064128
116,2,8,6,0.002004008016032064
117,2,8,6,0.002004008016032064
118,5,5,0,0.00501002004008016
119,1,1,0,0.001002004008016032
123,1,4,3,0.001002004008016032
127,2,2,0,0.002004008016032064
133,3,3,0,0.003006012024048096
134,3,3,0,0.003006012024048096
135,4,4,0,0.004008016032064128
136,3,3,0,0.003006012024048096
140,9,9,0,0.009018036072144289
141,1,4,3,0.001002004008016032
144,1,4,3,0.001002004008016032
146,3,8,5,0.003006012024048096
150,1,2,1,0.001002004008016032
152,2,3,1,0.002004008016032064
160,2,2,0,0.002004008016032064
161,2,2,0,0.002004008016032064
166,6,6,0,0.006012024048096192
167,4,4,0,0.004008016032064128
168,3,4,1,0.003006012024048096
169,4,5,1,0.004008016032064128
170,1,1,0,0.001002004008016032
171,5,11,6,0.00501002004008016
175,13,22,9,0.013026052104208416
177,5,7,2,0.00501002004008016
