node,degree_x,degree_y,degree_increase,degree_prob_x
1,1,1,0,0.0020833333333333333
2,1,8,7,0.0020833333333333333
3,1,2,1,0.0020833333333333333
4,1,1,0,0.0020833333333333333
8,1,2,1,0.0020833333333333333
9,1,2,1,0.0020833333333333333
10,1,1,0,0.0020833333333333333
11,1,1,0,0.0020833333333333333
12,1,1,0,0.0020833333333333333
13,1,2,1,0.0020833333333333333
14,1,1,0,0.0020833333333333333
16,1,4,3,0.0020833333333333333
17,1,1,0,0.0020833333333333333
18,1,1,0,0.0020833333333333333
19,1,1,0,0.0020833333333333333
21,1,1,0,0.0020833333333333333
22,1,1,0,0.0020833333333333333
25,1,1,0,0.0020833333333333333
27,1,1,0,0.0020833333333333333
28,1,1,0,0.0020833333333333333
29,1,1,0,0.0020833333333333333
30,1,1,0,0.0020833333333333333
32,2,2,0,0.004166666666666667
33,2,2,0,0.004166666666666667
34,2,3,1,0.004166666666666667
35,2,3,1,0.004166666666666667
36,3,3,0,0.00625
38,1,1,0,0.0020833333333333333
40,1,2,1,0.0020833333333333333
44,1,1,0,0.0020833333333333333
46,1,1,0,0.0020833333333333333
47,1,1,0,0.0020833333333333333
48,1,1,0,0.0020833333333333333
50,1,1,0,0.0020833333333333333
51,2,2,0,0.004166666666666667
52,1,1,0,0.0020833333333333333
53,1,1,0,0.0020833333333333333
57,6,10,4,0.0125
59,1,1,0,0.0020833333333333333
62,5,5,0,0.010416666666666666
64,1,1,0,0.0020833333333333333
65,1,1,0,0.0020833333333333333
67,2,2,0,0.004166666666666667
69,1,1,0,0.0020833333333333333
71,2,2,0,0.004166666666666667
72,1,1,0,0.0020833333333333333
73,1,1,0,0.0020833333333333333
74,1,1,0,0.0020833333333333333
75,1,7,6,0.0020833333333333333
76,1,1,0,0.0020833333333333333
78,1,1,0,0.0020833333333333333
81,3,3,0,0.00625
86,1,1,0,0.0020833333333333333
88,2,2,0,0.004166666666666667
89,1,1,0,0.0020833333333333333
90,1,1,0,0.0020833333333333333
