num_edges,num_nodes_predict,num_nodes_random,num_nodes_real
1,2,2,2.0
2,4,4,4.0
3,5,6,6.0
4,7,8,8.0
5,7,10,10.0
6,9,12,12.0
7,10,14,
8,12,16,
9,13,18,
10,15,20,
11,15,22,18.0
12,15,24,20.0
13,17,26,22.0
14,17,28,
15,19,30,
16,20,32,
17,20,34,26.0
18,21,36,
19,21,38,
20,22,40,28.0
21,24,42,30.0
22,25,44,
23,26,46,
24,26,48,32.0
25,27,50,
26,27,52,
27,28,54,
28,28,56,
29,28,58,
30,28,60,
31,29,62,34.0
32,30,64,36.0
33,30,66,37.0
34,30,68,
35,31,70,
36,31,72,40.0
37,32,74,42.0
38,32,76,
39,33,78,
40,33,80,45.0
41,35,82,
42,36,84,
43,36,86,
44,36,87,
45,37,89,
46,39,91,49.0
47,39,92,
48,40,94,
49,41,96,52.0
50,43,98,54.0
51,44,100,
52,45,102,57.0
53,47,104,
54,49,106,
55,50,108,59.0
56,51,110,60.0
57,52,112,61.0
58,52,114,62.0
59,53,116,
60,54,118,64.0
61,56,120,
62,56,122,67.0
63,56,123,68.0
64,58,125,69.0
65,59,126,
66,61,128,71.0
67,63,130,73.0
68,64,132,
69,65,134,
70,66,135,76.0
71,68,137,78.0
72,69,139,
73,71,141,
74,72,143,80.0
75,72,145,
76,72,147,83.0
77,73,149,
78,74,151,
79,75,153,86.0
80,76,155,86.0
81,77,157,88.0
82,79,158,89.0
83,81,160,89.0
84,83,162,
85,85,164,90.0
86,85,165,
87,86,167,
88,88,169,93.0
89,88,171,94.0
90,89,173,95.0
91,90,175,
92,91,177,
93,92,179,
94,92,179,
95,93,181,
96,94,183,
97,95,184,97.0
98,97,186,
99,98,187,
100,98,188,100.0
101,98,190,101.0
102,98,192,
103,98,194,105.0
104,98,196,107.0
105,99,197,
106,101,198,
107,101,200,
108,101,201,113.0
109,102,203,
110,102,205,
111,103,207,
112,104,209,
113,104,211,
114,104,212,116.0
115,105,213,116.0
116,105,215,118.0
117,107,216,
118,107,217,
119,107,217,
120,107,219,122.0
121,107,221,123.0
122,107,223,
123,107,224,
124,108,226,
125,110,228,
126,111,230,
127,111,232,
128,113,234,
129,115,236,
130,116,238,
131,116,239,126.0
132,116,240,128.0
133,117,241,
134,118,243,
135,119,245,
136,120,247,131.0
137,120,249,132.0
138,120,251,
139,120,253,133.0
140,122,255,135.0
141,122,256,136.0
142,124,257,137.0
143,125,258,138.0
144,125,260,139.0
145,126,261,
146,128,263,
147,128,265,
148,128,266,
149,128,268,141.0
150,129,270,142.0
151,130,272,
152,130,273,
153,131,275,
154,132,277,147.0
155,134,278,
156,135,280,
157,136,282,150.0
158,137,283,
159,138,284,151.0
160,139,286,152.0
161,141,287,154.0
162,141,288,
163,141,289,
164,141,290,
165,141,292,
166,142,294,
167,142,295,
168,144,297,
169,146,298,
170,146,299,160.0
171,147,300,162.0
172,147,302,
173,148,304,166.0
174,148,306,167.0
175,148,308,169.0
176,150,310,
177,152,312,
178,152,314,
179,153,315,
180,155,317,
181,155,319,
182,155,320,
183,155,322,174.0
184,156,324,176.0
185,156,324,177.0
186,157,326,178.0
187,158,328,
188,159,329,179.0
189,160,331,
190,160,332,
191,161,334,
192,162,335,184.0
193,163,337,
194,164,338,
195,164,340,
196,166,342,
197,167,343,
198,169,344,
199,169,345,191.0
200,169,345,
201,171,347,
202,172,349,
203,173,351,
204,174,351,
205,175,352,194.0
206,177,354,
207,179,356,197.0
208,179,357,198.0
209,179,359,
210,180,360,
211,181,362,
212,183,362,
213,185,364,202.0
214,187,366,
215,188,367,
216,188,369,203.0
217,188,370,
218,188,371,
219,189,373,
220,191,374,
221,192,376,
222,192,378,
223,192,380,
224,192,382,
225,193,383,209.0
226,194,385,
227,194,386,
228,195,388,212.0
229,196,390,
230,197,392,213.0
231,197,393,215.0
232,197,395,
233,198,396,
234,200,397,217.0
235,200,398,
236,201,399,
237,202,401,
238,203,403,
239,203,405,222.0
240,203,407,
241,204,408,
242,205,410,
243,206,412,223.0
244,206,414,225.0
245,207,415,226.0
246,207,416,226.0
247,207,418,
248,209,420,226.0
249,209,421,
250,209,423,
251,210,423,
252,211,424,
253,212,425,
254,213,427,232.0
255,214,429,234.0
256,215,431,236.0
257,216,432,237.0
258,216,434,
259,216,436,238.0
260,217,436,
261,217,437,
262,219,439,
263,220,440,
264,220,442,
265,222,443,
266,222,443,
267,223,444,
268,224,446,
269,224,448,
270,224,450,244.0
271,226,450,
272,226,452,247.0
273,228,453,
274,229,455,
275,229,457,
276,229,459,
277,229,461,249.0
278,230,462,
279,230,464,
280,231,465,
281,231,467,251.0
282,231,469,
283,232,470,254.0
284,232,472,255.0
285,233,474,
286,234,476,256.0
287,234,476,258.0
288,235,478,260.0
289,235,479,
290,236,479,261.0
291,238,481,
292,238,483,263.0
293,239,485,264.0
294,241,487,266.0
295,242,489,
296,242,491,
297,243,491,268.0
298,244,492,
299,244,492,270.0
300,244,493,
301,244,495,
302,244,496,272.0
303,245,497,273.0
304,246,498,275.0
305,247,499,
306,248,500,
307,249,501,
308,250,502,
309,251,504,
310,251,506,279.0
311,252,507,
312,254,508,
313,256,508,282.0
314,256,510,283.0
315,257,511,284.0
316,257,513,285.0
317,258,515,287.0
318,259,517,288.0
319,260,517,
320,260,518,
321,261,519,293.0
322,262,520,
323,263,521,
324,263,523,
325,263,525,
326,264,526,
327,264,528,
328,266,530,
329,267,530,
330,268,532,
331,268,533,
332,268,534,
333,269,536,
334,269,538,
335,270,538,
336,270,539,
337,270,540,
338,270,541,
339,271,542,
340,273,543,299.0
341,274,544,
342,274,544,300.0
343,274,546,
344,274,548,
345,275,549,
346,276,550,
347,277,551,
348,277,553,304.0
349,278,554,
350,279,556,
351,280,558,
352,281,559,
353,282,559,305.0
354,284,561,
355,284,562,307.0
356,285,562,307.0
357,285,563,
358,286,565,
359,288,566,309.0
360,288,568,
361,288,569,
362,288,570,310.0
363,289,571,311.0
364,291,572,312.0
365,292,574,
366,293,575,
367,293,576,
368,294,576,
369,296,577,315.0
370,297,579,317.0
371,298,581,
372,299,583,
373,300,585,
374,301,587,
375,302,588,320.0
376,302,590,322.0
377,303,591,
378,305,592,
379,306,593,
380,308,593,
381,309,594,
382,310,595,
383,311,596,
384,312,597,325.0
385,313,599,326.0
386,313,601,
387,314,602,328.0
388,314,604,328.0
389,315,605,329.0
390,315,606,
391,317,608,
392,318,609,
393,320,611,333.0
394,320,613,
395,321,615,334.0
396,321,616,
397,322,617,
398,322,617,337.0
399,322,619,
400,323,620,338.0
401,323,621,
402,324,622,
403,325,623,341.0
404,325,623,
405,325,625,
406,325,626,
407,325,627,
408,325,628,
409,326,629,347.0
410,326,631,
411,326,633,
412,326,633,
413,327,634,
414,328,636,349.0
415,328,637,
416,329,638,350.0
417,330,639,
418,330,639,
419,330,641,352.0
420,331,643,
421,331,644,
422,332,645,
423,332,646,
424,332,648,356.0
425,332,650,
426,334,651,359.0
427,335,652,359.0
428,336,654,360.0
429,337,655,
430,338,657,
431,338,659,
432,339,661,
433,340,662,
434,342,662,
435,342,662,
436,344,664,
437,345,665,
438,346,667,
439,347,668,
440,348,668,
441,349,669,
442,350,670,
443,352,670,
444,353,671,
445,354,672,
446,354,672,
447,354,672,
448,355,673,
449,355,675,
450,356,676,
451,357,677,
452,358,679,
453,358,680,
454,359,682,373.0
455,359,683,
456,360,685,376.0
457,361,685,
458,362,685,
459,363,686,380.0
460,363,686,381.0
461,363,687,
462,363,688,382.0
463,364,690,
464,365,691,
465,366,692,
466,366,694,
467,366,695,
468,367,696,
469,369,697,
470,370,698,
471,370,699,
472,370,701,
473,371,702,394.0
474,371,704,
475,371,705,
476,372,706,
477,372,707,
478,373,708,
479,373,709,397.0
480,373,711,398.0
481,374,712,399.0
482,375,713,
483,375,714,
484,375,714,
485,375,714,
486,376,715,
487,376,716,
488,378,718,
489,379,720,405.0
490,380,722,406.0
491,380,723,
492,381,724,
493,382,726,
494,384,727,
495,385,728,
496,386,730,
497,387,731,
498,388,732,
499,388,733,
500,389,735,
501,390,737,413.0
502,391,739,
503,391,740,
504,391,740,
505,392,742,413.0
506,392,744,
507,392,746,
508,393,747,
509,395,748,
510,396,749,
511,397,750,
512,397,751,419.0
513,398,752,421.0
514,399,753,
515,400,754,
516,400,756,423.0
517,400,757,
518,401,758,
519,403,759,
520,403,760,
521,404,761,427.0
522,405,762,428.0
523,406,762,
524,407,763,
525,407,765,
526,407,766,
527,408,768,
