num_edges,num_nodes_predict,num_nodes_random,num_nodes_real
1,2,2,
2,3,4,
3,5,6,
4,6,8,
5,8,10,
6,9,12,
7,11,14,
8,12,16,
9,13,18,
10,15,20,
11,15,22,
12,16,24,
13,17,26,
14,18,28,
15,19,30,
16,21,32,
17,22,34,
18,23,36,
19,23,38,
20,24,40,
21,24,42,
22,25,44,
23,27,46,
24,27,48,
25,28,50,
26,29,52,
27,30,54,
28,31,56,
29,32,58,
30,33,60,
31,34,62,
32,35,64,
33,36,66,
34,37,68,
35,38,70,
36,39,72,
37,40,74,
38,42,76,
39,43,78,
40,43,80,
41,44,81,
42,44,83,
43,45,85,
44,45,87,
45,46,89,
46,47,91,
47,47,93,
48,48,95,
49,49,97,
50,50,99,
51,51,101,
52,53,103,
53,53,105,
54,54,107,
55,55,109,
56,55,110,
57,56,112,
58,56,114,
59,58,116,
60,60,118,
61,60,120,
62,61,122,
63,62,124,
64,63,126,
65,65,128,
66,66,130,
67,66,132,
68,66,134,
69,66,135,
70,67,137,
71,69,139,
72,70,140,
73,72,142,
74,73,144,
75,75,146,
76,76,148,
77,78,149,
78,79,151,
79,81,153,
80,82,155,
81,83,157,
82,83,159,
83,85,161,
84,86,163,
85,87,165,
86,88,167,
87,89,168,
88,90,170,
89,91,172,
90,91,174,
91,92,176,
92,93,178,
93,94,180,
94,95,182,
95,96,184,
96,97,186,
97,98,188,
98,99,190,
99,100,191,
100,100,193,
101,100,195,
102,102,197,
103,104,199,
104,104,201,
105,105,203,
106,106,205,
107,107,207,
108,108,209,
109,110,211,
110,110,213,
111,110,214,
112,111,216,
113,111,218,
114,112,220,
115,113,222,
116,114,223,
117,115,225,
118,116,226,
119,116,228,
120,117,230,
121,117,232,
122,119,234,
123,120,236,
124,122,238,
125,123,240,
126,124,242,
127,125,243,
128,126,245,
129,126,246,
130,127,247,
131,129,249,
132,130,251,
133,131,252,
134,132,254,
135,134,256,
136,135,258,
137,136,260,
138,137,261,
139,139,263,
140,139,265,
141,140,266,
142,140,268,
143,141,270,
144,143,272,
145,145,273,
146,146,275,
147,148,277,
148,150,279,
149,151,280,
150,153,282,
151,154,284,
152,155,286,
153,157,288,
154,157,290,
155,159,292,
156,161,294,
