num_edges,num_nodes_predict,num_nodes_random,num_nodes_real
1,2,2,2.0
2,3,4,
3,4,6,
4,5,8,
5,6,10,
6,7,12,
7,7,14,6.0
8,8,16,
9,10,18,
10,11,20,
11,12,22,
12,14,23,
13,15,24,
14,16,24,12.0
15,17,26,
16,17,28,
17,19,30,
18,20,32,
19,21,34,
20,23,35,
21,24,37,
22,25,39,
23,26,40,
24,27,41,
25,29,43,
26,31,45,15.0
27,32,45,17.0
28,32,46,19.0
29,33,48,
30,34,50,20.0
31,35,52,22.0
32,36,53,24.0
33,37,54,
34,38,55,
35,38,57,26.0
36,39,58,
37,41,59,
38,42,60,
39,42,60,
40,42,62,29.0
41,42,62,
42,42,63,
43,42,65,31.0
44,43,67,32.0
45,45,68,
46,46,70,
47,46,72,
48,47,74,
49,48,75,
50,49,75,35.0
51,50,77,
52,51,79,
53,52,79,38.0
54,52,80,
55,53,81,
56,53,83,
57,54,85,
58,55,86,40.0
59,56,87,41.0
60,56,88,
61,56,89,
62,56,90,43.0
63,57,91,
64,58,92,
65,59,93,46.0
66,61,94,47.0
67,61,94,
68,62,94,
69,62,94,
70,63,95,
71,63,96,49.0
72,64,96,
73,64,97,
74,65,98,
75,65,99,51.0
76,65,100,53.0
77,65,100,54.0
78,65,101,54.0
79,65,102,56.0
80,66,103,57.0
81,67,104,59.0
82,67,106,59.0
83,67,106,61.0
84,68,106,62.0
85,69,106,63.0
86,70,107,64.0
87,71,107,
88,71,107,66.0
89,71,109,
90,73,110,
91,73,111,
92,73,112,
93,73,113,
94,74,115,
95,75,116,
96,75,116,68.0
97,76,117,69.0
98,76,117,71.0
99,76,117,
100,78,119,73.0
101,78,121,74.0
102,78,122,76.0
103,78,123,
104,78,124,
105,80,125,
106,80,125,78.0
107,81,125,
108,81,125,
109,82,125,80.0
110,84,125,81.0
111,84,126,83.0
112,85,126,84.0
113,87,126,
114,87,126,85.0
115,87,127,
116,88,128,
117,90,128,88.0
118,90,129,
119,91,130,89.0
120,92,130,
121,93,130,90.0
122,95,131,
123,95,133,91.0
124,95,134,
125,95,134,
126,96,135,92.0
127,96,136,93.0
128,98,137,
129,100,137,
130,101,138,
131,102,138,
132,103,139,
133,104,140,
134,104,141,
135,105,142,
136,106,144,
137,106,146,97.0
138,107,146,
139,107,146,98.0
140,108,147,
141,108,147,
142,108,147,
143,109,148,
144,109,148,
145,109,148,
146,110,148,
147,111,148,
148,112,149,100.0
149,113,149,
150,113,150,101.0
151,114,151,102.0
152,115,151,
153,116,151,104.0
154,116,151,
155,117,151,106.0
156,117,152,
157,118,152,
158,118,152,107.0
159,119,153,
160,120,155,
161,121,156,109.0
162,121,158,110.0
163,121,158,
164,121,158,
165,121,159,
166,122,159,
167,122,159,
168,122,160,113.0
169,122,161,114.0
170,122,163,
171,122,164,
172,122,164,
173,122,164,116.0
174,122,164,
175,122,165,117.0
176,122,165,118.0
177,122,165,
178,123,166,
179,124,167,121.0
180,124,167,121.0
181,125,167,
182,125,167,
183,125,167,124.0
184,126,167,
185,126,168,
186,127,168,
187,127,168,124.0
188,127,169,
189,127,170,
190,127,170,
191,127,170,
192,127,171,126.0
193,127,172,
194,127,172,128.0
195,128,172,129.0
196,128,174,130.0
197,129,175,131.0
198,129,176,133.0
199,129,177,
200,130,178,134.0
201,131,178,
202,131,179,135.0
203,131,180,135.0
204,131,180,
205,132,181,
206,132,181,136.0
207,132,182,137.0
208,132,182,
209,133,183,138.0
210,133,183,139.0
211,133,183,
212,133,184,
213,134,184,
214,135,184,140.0
215,135,185,140.0
216,136,185,
217,136,185,
218,137,186,
219,138,187,
220,138,187,142.0
221,138,187,
222,138,188,
223,138,189,
224,139,190,
225,140,190,
226,140,190,
227,140,190,145.0
228,140,191,
229,140,191,146.0
230,140,191,146.0
231,140,191,147.0
232,140,192,
233,141,192,147.0
234,141,193,148.0
235,142,193,149.0
236,142,193,
237,142,193,
