num_edges,num_nodes_predict,num_nodes_random,num_nodes_real
1,2,2,
2,4,4,
3,6,6,
4,7,8,
5,7,10,
6,9,12,
7,10,14,
8,10,16,
9,11,18,
10,13,20,
11,14,22,
12,15,24,
13,15,25,
14,17,26,
15,19,27,
16,21,29,
17,23,30,
18,24,32,
19,26,34,
20,26,35,
21,27,36,
22,28,38,
23,29,40,
24,29,42,
25,30,44,
26,30,46,
27,32,48,
28,32,50,
29,34,51,
30,35,53,
31,37,55,
32,38,56,
33,40,58,
34,42,60,
35,44,61,
36,46,62,
37,47,62,
38,48,63,
39,50,63,
40,52,65,
41,54,67,
42,55,68,
43,56,68,
44,57,70,
45,58,71,
46,58,73,
47,58,74,
48,59,76,
49,61,77,
50,61,79,
51,62,81,
52,64,83,
53,65,83,
54,67,85,
55,68,86,
56,70,87,
57,71,87,
58,72,87,
59,74,88,
60,75,90,
61,76,91,
62,77,93,
63,78,95,
64,78,96,
65,79,98,
66,81,100,
67,82,101,
68,82,103,
69,82,104,
70,82,104,
71,84,105,
72,85,105,
73,86,107,
74,88,109,
75,88,111,
76,88,111,
77,89,113,
78,89,115,
79,90,116,
80,92,117,
81,92,117,
82,93,118,
83,94,120,
84,95,121,
85,97,122,
86,99,124,
87,101,125,
88,101,125,
89,102,126,
90,103,127,
91,104,128,
92,104,130,
93,106,131,
94,106,133,
95,108,134,
96,109,135,
97,110,135,
98,112,137,
99,112,138,
100,113,138,
101,115,139,
102,117,139,
103,119,141,
104,120,142,
105,121,144,
106,122,145,
107,123,146,
108,124,147,
109,125,149,
110,126,149,
111,126,150,
112,128,151,
113,128,151,
114,129,153,
115,130,153,
116,130,155,
117,131,157,
118,133,159,
119,134,160,
120,135,162,
121,136,163,
122,137,165,
123,137,166,
124,137,166,
125,139,166,
126,139,166,
127,141,166,
128,141,166,
129,143,166,
130,144,168,
131,145,170,
132,147,172,
133,149,172,
134,150,173,
135,152,175,
136,154,177,
137,154,177,
138,154,177,
139,156,179,
140,156,181,
141,157,181,
142,159,181,
143,160,181,
144,161,181,
145,161,181,
146,163,182,
147,164,182,
148,165,184,
149,167,186,
150,168,186,
151,170,186,
152,172,188,
153,173,188,
154,175,188,
155,176,188,
156,178,189,
157,179,191,
158,179,193,
159,180,193,
160,181,193,
161,181,194,
162,181,194,
163,183,195,
164,183,195,
165,183,195,203.0
166,185,195,
167,187,197,
168,188,199,
169,189,200,
170,190,202,
171,191,202,
172,193,203,
173,195,204,
174,196,205,
175,197,207,
176,197,207,210.0
177,199,207,
178,201,209,
179,203,209,
180,205,210,211.0
181,207,210,211.0
182,208,210,
183,210,212,212.0
184,212,212,
185,212,212,212.0
