num_edges,num_nodes_predict,num_nodes_random,num_nodes_real
1,2,2,2.0
2,4,4,
3,6,6,
4,7,8,5.0
5,7,10,7.0
6,8,12,9.0
7,9,14,10.0
8,10,16,11.0
9,11,18,
10,13,20,
11,14,22,14.0
12,16,24,16.0
13,18,26,18.0
14,19,28,20.0
15,20,30,22.0
16,21,32,24.0
17,22,34,26.0
18,23,36,
19,23,37,
20,24,39,29.0
21,25,41,
22,26,43,32.0
23,26,45,34.0
24,28,47,35.0
25,30,49,
26,31,51,
27,31,53,
28,31,55,
29,32,56,
30,33,58,
31,34,60,39.0
32,35,62,
33,35,64,
34,36,66,42.0
35,38,68,44.0
36,38,70,
37,38,72,
38,40,74,
39,41,76,
40,42,78,
41,43,79,48.0
42,43,81,50.0
43,43,82,
44,43,84,
45,43,86,52.0
46,43,88,53.0
47,43,89,55.0
48,45,91,
49,47,93,59.0
50,48,95,
51,49,96,
52,49,97,
53,49,98,62.0
54,50,100,
55,52,101,
56,53,103,
57,55,105,
58,56,107,64.0
59,57,109,
60,58,110,65.0
61,59,112,
62,60,114,
63,61,116,68.0
64,61,117,
65,62,119,
66,63,121,
67,64,123,
68,66,125,
69,66,127,73.0
70,66,129,
71,67,130,
72,68,131,
73,68,132,
74,68,134,75.0
75,69,135,
76,69,137,
77,70,138,
78,70,140,
79,71,142,
80,72,144,78.0
81,73,146,
82,73,147,
83,74,149,82.0
84,76,150,
85,77,152,83.0
86,78,152,
87,79,154,
88,80,156,86.0
89,81,158,88.0
90,82,160,
91,83,162,
92,84,163,91.0
93,84,164,93.0
94,84,165,94.0
95,86,167,
96,88,169,96.0
97,88,170,
98,89,171,
99,89,173,
100,91,173,
101,92,174,
102,92,176,
103,93,178,
104,93,180,
105,94,182,100.0
106,94,182,
107,95,184,
108,96,186,
109,96,188,100.0
110,96,189,
111,98,191,103.0
112,98,193,
113,99,195,
114,99,195,
115,99,196,108.0
116,100,197,109.0
117,101,199,110.0
118,102,200,
119,103,200,
120,104,202,113.0
121,104,203,
122,104,204,
123,104,206,116.0
124,104,208,117.0
125,106,210,119.0
126,106,212,
127,107,213,
128,108,214,
129,109,215,
130,109,217,
131,109,219,123.0
132,110,220,
133,110,220,
134,111,222,
135,112,223,
136,112,225,
137,112,226,126.0
138,112,227,127.0
139,113,228,
140,114,229,128.0
141,114,230,130.0
142,114,232,130.0
143,114,234,131.0
144,114,235,
145,114,237,
146,115,238,134.0
147,116,240,
148,117,240,
149,117,242,135.0
150,119,243,
151,119,245,
152,121,247,138.0
153,121,248,139.0
154,121,249,140.0
155,122,251,141.0
156,122,253,142.0
157,122,254,
158,123,255,
159,123,257,
160,123,258,
161,123,260,143.0
162,123,261,
163,123,262,
164,123,264,
165,123,264,145.0
166,123,265,
167,123,267,146.0
168,124,268,148.0
169,125,269,
170,126,271,
171,126,271,
172,127,273,
173,127,275,152.0
174,127,277,153.0
175,129,279,
176,129,281,154.0
177,130,282,154.0
178,131,283,
179,132,285,156.0
180,132,287,
181,132,288,157.0
182,132,290,
183,134,292,159.0
184,135,292,160.0
185,136,293,
186,138,294,
187,139,294,
188,140,296,
189,140,297,
190,142,297,163.0
191,142,298,165.0
192,143,299,
193,144,301,
194,145,303,168.0
195,146,305,169.0
196,146,306,
197,147,308,
198,147,310,172.0
199,147,311,
200,147,312,
201,149,314,
202,150,315,175.0
203,151,316,
204,151,317,
205,151,318,177.0
206,151,319,
207,152,321,178.0
208,153,321,
209,153,322,180.0
210,154,324,181.0
211,155,324,
212,156,324,
213,156,326,184.0
214,157,327,
215,157,329,187.0
216,157,329,188.0
217,157,330,189.0
218,158,331,190.0
219,159,332,
220,159,332,191.0
221,159,334,
222,159,336,
223,161,336,
224,162,336,
225,163,338,
226,164,339,191.0
227,164,340,192.0
228,165,341,192.0
229,165,341,
230,166,343,
231,166,343,195.0
232,166,345,
233,166,345,
234,166,346,196.0
235,166,348,197.0
236,166,349,197.0
237,166,349,198.0
238,166,350,
239,167,352,
240,167,353,199.0
241,167,354,201.0
242,168,355,202.0
243,168,357,
244,168,357,204.0
245,169,359,
246,169,361,
247,169,362,
248,171,363,
249,171,364,
250,171,365,207.0
251,172,365,
252,172,366,
253,172,367,
254,173,368,
255,174,370,
256,174,370,209.0
257,175,370,209.0
258,176,372,
259,176,373,
260,177,374,
261,178,375,
262,178,376,210.0
263,179,376,
264,180,377,212.0
265,180,379,213.0
266,180,380,
267,181,382,
268,182,384,
269,182,385,217.0
270,183,385,
271,183,386,
272,183,387,219.0
273,184,388,
