num_edges,num_nodes_predict,num_nodes_random,num_nodes_real
1,2,2,
2,3,4,
3,5,6,
4,7,8,
5,9,10,
6,10,12,
7,11,14,
8,13,16,
9,15,17,
10,17,18,
11,19,20,
12,21,22,
13,23,24,
14,24,26,
15,26,28,
16,27,30,
17,29,31,
18,31,33,
19,32,34,
20,33,36,
21,34,38,
22,36,40,
23,37,42,
24,39,44,
25,40,45,
26,41,47,
27,42,49,
28,43,50,
29,45,51,
30,46,52,
31,48,54,
32,49,56,
33,51,58,
34,52,60,
35,53,61,
36,54,63,
37,55,63,
38,57,65,
39,58,67,
40,60,69,
41,61,70,
42,63,72,
43,64,74,
44,66,75,
45,67,76,
46,67,77,
47,67,78,
48,69,79,
49,71,80,
50,72,81,
51,72,83,
52,74,84,
53,75,86,
54,76,88,
55,77,89,
56,79,90,
57,80,92,
58,81,93,
59,81,95,
60,82,97,
61,83,98,
62,83,99,
63,84,101,
64,86,103,
65,87,103,
66,89,104,
67,90,106,
68,91,107,
69,92,107,
70,94,109,
71,95,111,
72,96,112,
73,98,114,
74,98,115,
75,99,117,
76,99,117,
77,101,118,
78,103,119,
79,103,121,
80,104,122,
81,104,124,
82,106,125,
83,107,126,
84,108,127,
85,110,129,
86,110,131,
87,110,133,
88,112,135,
89,112,137,
90,114,139,
91,114,139,
92,114,141,
93,116,142,
94,116,144,
95,118,145,
96,120,147,
97,120,148,
98,122,148,
99,122,150,
100,123,150,
101,124,151,
102,124,151,
103,125,153,
104,126,154,
105,128,154,
106,129,155,
107,130,157,
108,132,159,
109,133,161,
110,134,163,
111,134,164,
112,134,164,
113,135,165,
114,137,167,
115,138,167,
116,138,167,
117,139,168,
118,139,169,
119,140,170,
120,141,172,
121,143,174,
122,143,174,
123,143,176,
124,143,178,
125,144,179,
126,145,181,
127,146,182,
128,148,183,
129,149,185,
130,151,186,
131,152,188,
132,154,189,
133,156,190,
134,157,190,
135,159,192,
136,160,193,
137,160,193,
138,161,195,
139,161,195,
140,163,196,
141,165,196,
142,166,196,
143,168,197,
144,169,197,
145,171,198,
146,173,199,
147,173,201,
148,173,203,
149,174,204,
150,176,204,
151,177,204,
152,179,206,
153,181,207,
154,183,208,
155,183,208,
156,184,209,
