num_edges,num_nodes_predict,num_nodes_random,num_nodes_real
1,2,2,
2,3,4,
3,5,6,
4,5,8,
5,6,10,
6,8,12,
7,10,14,
8,12,16,
9,12,18,
10,14,20,
11,16,22,
12,18,24,
13,20,26,
14,22,28,
15,24,30,
16,26,32,
17,27,34,
18,28,36,
19,29,37,
20,30,39,
21,30,41,
22,31,43,
23,33,45,
24,35,47,
25,36,49,
26,36,51,
27,38,52,
28,39,54,
29,40,56,
30,42,58,
31,42,60,
32,42,61,
33,43,63,
34,45,65,
35,47,67,
36,47,69,
37,48,71,
38,49,73,
39,50,73,
40,52,75,
41,53,77,
42,53,79,
43,54,81,
44,55,83,
45,55,85,
46,55,87,
47,56,89,
48,56,91,
49,58,93,
50,58,94,
51,58,96,
52,58,98,
53,58,100,
54,60,102,
55,60,104,
56,62,106,
57,62,108,
58,62,110,
59,64,112,
60,64,114,
61,65,116,
62,65,118,
63,67,120,
64,67,121,
65,69,122,
66,71,123,
67,72,125,
68,72,126,
69,72,128,
70,74,129,
71,75,131,
72,75,133,
73,77,135,
74,78,136,
75,79,138,
76,80,140,
77,81,141,
78,82,143,
79,82,145,
80,83,147,
81,84,148,
82,85,150,
83,85,152,
84,85,154,
85,85,156,
86,85,158,
87,86,160,
88,87,162,
89,88,164,
90,88,165,
91,90,167,
92,91,169,
93,92,171,
94,94,173,
95,96,175,
96,98,177,
97,99,179,
98,99,181,
99,99,183,
100,100,184,
101,101,186,
102,102,188,
103,102,189,
104,102,191,
105,102,193,
106,102,195,
107,102,197,
108,104,199,
109,106,199,
110,108,199,
111,110,200,
112,110,201,
113,112,202,
114,114,204,
115,114,206,
116,115,208,
117,116,210,
118,116,212,
119,118,214,
120,118,216,
121,118,218,
122,119,219,
123,120,220,
124,121,222,
125,121,224,
126,121,226,
127,121,227,
128,123,229,
129,123,231,
130,124,233,
131,124,234,
132,125,236,
133,127,238,
134,127,240,
135,128,242,
136,128,243,
137,129,244,
138,129,245,
139,129,247,
140,130,249,
141,131,249,
142,131,251,
143,132,253,
144,132,255,
145,132,257,
146,134,258,
147,135,259,
148,137,261,
149,139,263,
150,139,265,
151,139,267,
152,139,269,
153,141,271,
154,142,272,
155,142,273,
156,142,274,
