num_edges,num_nodes_predict,num_nodes_random,num_nodes_real
1,2,2,
2,4,4,
3,6,6,
4,7,8,
5,9,10,
6,11,12,
7,12,14,
8,14,16,
9,16,18,
10,17,20,
11,18,22,
12,20,24,
13,21,26,
14,23,28,
15,25,30,
16,26,32,
17,28,34,
18,30,36,
19,32,38,
20,33,40,
21,35,42,
22,36,44,
23,38,46,
24,39,48,
25,40,50,
26,42,52,
27,43,54,
28,45,56,
29,47,58,
30,49,60,
31,51,62,
32,52,64,
33,54,66,
34,56,68,
35,57,70,
36,58,71,
37,59,72,
38,60,74,
39,62,75,
40,64,77,
41,66,79,
42,67,81,
43,68,83,
44,70,85,
45,72,87,
46,73,89,
47,74,91,
48,75,93,
49,77,95,
50,77,97,
51,79,99,
52,79,100,
53,80,102,
54,82,103,
55,84,104,
56,86,106,
57,87,108,
58,88,109,
59,88,111,
60,89,113,
61,89,115,
62,89,117,
63,91,119,
64,93,121,
65,93,123,
66,94,124,
67,95,126,
68,97,128,
69,97,129,
70,99,130,
71,100,132,
72,100,134,
73,100,136,
74,102,138,
75,103,140,
76,103,141,
77,103,143,
78,105,145,
79,106,146,
80,108,148,
81,108,150,
82,109,152,
83,111,153,
84,111,154,
85,112,156,
86,114,157,
87,116,158,
88,118,160,
89,120,162,
90,122,164,
91,124,166,
92,125,167,
93,126,169,
94,126,171,
95,128,173,
96,130,175,
97,131,177,
98,133,178,
99,134,179,
100,135,181,
101,135,183,
102,137,184,
103,138,186,
104,138,188,
105,139,189,
106,139,190,
107,141,191,
108,142,193,
109,144,194,
110,145,194,
111,147,196,
112,147,198,
113,147,199,
114,149,200,
115,150,202,
116,150,203,
117,151,205,
118,152,207,
119,154,209,
120,156,211,
121,158,212,
122,160,214,
123,162,215,
124,163,215,
125,165,216,
126,167,217,
127,167,219,
128,168,221,
129,170,223,
130,172,224,
131,173,225,
132,175,227,
133,177,229,
134,177,231,
135,179,233,
136,179,235,
137,179,236,
138,181,238,
139,182,240,
140,184,242,
141,186,244,
142,187,245,
143,189,246,
144,190,248,
145,191,250,
146,192,252,
147,193,254,
148,194,256,
149,194,257,
150,195,259,
151,196,261,
152,196,263,
153,197,264,
154,198,266,
155,200,267,
156,200,269,
157,200,270,
158,200,272,
159,202,274,
160,203,275,
161,203,275,
162,203,277,
163,205,278,
164,207,280,
165,207,281,
166,208,282,
167,208,284,
168,209,286,
169,210,287,
170,211,287,
171,212,289,
172,213,291,
173,214,292,
174,214,294,
175,216,296,
176,217,296,
177,218,298,
178,219,299,
179,221,299,
180,221,301,
181,222,302,
182,223,303,
183,223,304,
184,224,306,
185,224,308,
186,225,310,
187,227,312,
188,229,314,
189,230,316,
190,230,317,
191,231,318,
192,231,319,
193,231,320,
194,231,321,
195,231,323,
196,231,324,
197,231,325,
198,232,326,
199,232,327,
200,232,329,
201,234,330,
202,236,331,
203,237,333,
204,239,334,
205,241,335,
206,242,337,
207,243,339,
208,243,339,
209,245,341,
210,246,342,
211,247,343,
212,248,343,
213,250,345,
214,251,347,
215,253,348,
216,255,349,
217,255,349,
218,256,351,
219,257,353,
220,258,355,
221,258,357,
222,259,359,
223,261,361,
224,262,361,
225,262,363,
226,263,365,
227,264,366,
228,265,367,
229,265,369,
230,265,371,
231,266,371,
232,268,372,
233,268,373,
234,270,374,
235,271,374,
236,272,376,
237,272,376,
238,273,377,
239,273,379,
240,274,381,
241,274,383,
242,274,384,
243,274,385,
244,274,387,
245,276,389,
246,277,390,
247,279,390,
248,281,392,
249,281,394,
250,282,395,
251,282,396,
252,283,397,
253,284,399,
254,284,400,
255,285,402,
256,287,404,
257,288,406,
258,290,406,
259,291,408,
260,291,410,
261,293,410,
262,293,412,
263,294,414,
264,295,416,
265,295,418,
266,296,419,
267,297,420,
268,299,422,
269,299,423,
270,300,424,
271,300,426,
272,301,426,
273,303,427,
274,304,429,
275,305,429,
276,305,431,
277,307,433,
278,307,434,
279,307,435,
280,307,435,
281,308,437,
282,309,439,
283,310,439,
284,311,439,
285,313,441,
286,313,443,
287,313,444,
288,313,445,
289,315,447,
290,317,449,
291,318,451,
292,318,452,
293,318,453,
294,318,453,
295,320,454,
296,320,455,
297,321,457,
298,321,458,
299,322,458,
300,322,460,
301,324,461,
302,324,462,
303,326,464,
304,328,466,
305,329,467,
306,329,468,
307,331,470,
308,331,472,
309,331,473,
310,333,475,
311,333,477,
312,335,479,
313,337,481,
314,337,483,
315,337,485,
316,339,486,
317,339,487,
318,340,487,
319,342,489,
320,342,491,
321,342,492,
322,343,494,
323,343,496,
324,345,496,
325,345,498,
326,347,500,
327,348,501,
328,348,503,
329,348,504,
330,350,504,
331,351,506,
332,353,508,
333,354,510,
334,354,512,
335,356,514,
336,357,516,
337,357,518,
338,359,519,
339,361,520,
340,363,520,
341,364,522,
342,365,524,
343,365,526,
344,367,527,
345,368,529,
346,369,530,
347,371,530,
348,373,531,
349,374,533,
350,375,535,
351,376,535,
352,378,535,
353,379,536,
354,381,537,
355,383,539,
356,384,541,
357,384,543,
358,384,544,
359,386,545,
360,387,545,
361,387,546,
362,387,547,
363,387,549,
364,389,551,
365,390,551,
366,392,552,
367,393,554,
368,394,554,
369,395,556,
370,396,558,
371,398,560,
372,400,561,
373,401,562,
374,403,563,
375,405,563,
376,405,564,
377,407,565,
378,408,566,
379,408,566,
380,410,566,
381,411,566,
382,411,568,
383,411,569,
384,411,570,
385,412,570,
386,414,571,
387,415,572,
388,415,572,
389,415,574,
390,415,576,
391,417,578,
392,417,580,
393,419,582,
394,421,584,
395,421,584,
396,421,586,
397,421,587,
398,421,588,
399,423,590,
400,424,591,
401,425,592,
402,427,593,
403,429,594,
404,431,594,
405,431,595,
406,432,596,
407,433,598,
408,434,600,
409,436,602,
410,436,602,
411,438,603,
412,439,603,
413,439,603,
414,441,605,
415,443,606,
416,444,606,
417,446,607,
418,446,607,
419,447,608,
420,448,609,
421,449,611,
422,450,612,
423,452,613,
424,453,614,
425,454,615,
426,455,616,
427,456,618,
428,458,620,
429,460,620,
430,462,621,
431,463,623,
432,463,625,
433,463,625,
434,464,626,
435,466,626,
436,466,627,
437,467,629,
438,469,631,
439,469,633,
440,470,634,
441,470,635,
442,472,635,
443,473,635,
444,474,636,
445,476,638,
446,476,638,
447,478,639,
448,479,640,
449,479,640,
450,479,641,
451,481,642,
452,483,643,
453,485,643,
454,487,644,
455,488,646,
456,489,648,
457,489,649,
458,490,650,
459,491,652,
