num_edges,num_nodes_predict,num_nodes_random,num_nodes_real
1,2,2,
2,4,4,
3,6,6,
4,7,8,
5,8,10,
6,10,12,
7,12,14,
8,14,16,
9,16,18,
10,17,19,
11,19,21,
12,20,23,
13,22,25,
14,22,27,10.0
15,23,29,
16,25,31,
17,27,33,
18,29,35,
19,30,37,
20,31,39,14.0
21,32,41,16.0
22,34,43,
23,35,45,
24,36,47,
25,38,49,
26,39,51,
27,40,53,20.0
28,42,55,
29,44,57,
30,46,59,
31,46,61,
32,47,63,
33,47,65,
34,49,67,26.0
35,51,69,
36,53,71,
37,54,72,
38,56,74,
39,56,76,
40,58,78,
41,59,80,
42,60,81,
43,61,83,
44,62,84,
45,63,86,
46,64,88,
47,64,90,
48,66,92,
49,68,94,
50,69,95,37.0
51,69,97,
52,71,98,
53,73,100,40.0
54,74,102,42.0
55,76,104,44.0
56,77,105,
57,79,107,
58,81,109,
59,83,111,
60,85,112,
61,86,114,
62,88,116,
63,89,118,
64,90,119,
65,92,121,
66,93,123,
67,95,125,
68,97,127,
69,97,129,56.0
70,97,131,
71,99,133,
72,99,134,61.0
73,100,136,
74,100,138,
75,101,140,64.0
76,102,142,
77,103,144,
78,104,146,
79,106,148,69.0
80,108,149,
81,110,151,
82,111,153,
83,113,155,
84,115,157,
85,115,158,
86,115,160,76.0
87,117,162,
88,117,163,
89,118,164,
90,119,166,
91,120,168,77.0
92,120,170,
93,120,172,
94,122,173,
95,122,175,
96,123,177,
97,125,179,
98,126,181,83.0
99,127,182,
100,128,184,86.0
101,129,185,
102,131,186,
103,133,187,
104,135,189,
105,135,190,
106,135,192,
107,136,193,98.0
108,137,194,
109,138,196,
110,139,198,
111,139,200,
112,139,202,
113,141,204,
114,142,204,
115,143,205,104.0
116,145,206,
117,146,208,
118,146,210,
119,148,212,
120,148,214,
121,149,215,
122,151,217,
123,152,219,
124,154,221,
125,156,223,
126,157,225,
127,158,227,
128,159,229,
129,160,231,114.0
130,162,233,
131,164,235,116.0
132,165,237,
133,165,239,119.0
134,166,241,
135,167,243,
136,168,245,
137,169,247,
138,171,248,
139,172,250,
140,174,251,
141,175,252,
142,177,253,
143,179,254,124.0
144,181,255,126.0
145,181,256,
146,182,258,
147,183,260,
148,184,262,
149,186,263,131.0
150,186,264,133.0
151,188,266,
152,189,267,
153,190,269,
154,190,270,
155,191,272,135.0
156,191,274,137.0
157,192,276,139.0
158,192,278,
159,192,278,
160,194,279,
161,196,281,
162,198,283,142.0
163,199,285,
164,199,286,
165,200,286,144.0
166,202,288,146.0
167,204,290,
168,205,292,
169,207,293,
170,208,295,
171,209,297,
172,211,299,
173,211,301,
174,213,303,152.0
175,215,305,
176,215,306,
177,216,308,
178,218,310,
179,220,312,
180,221,313,
181,223,315,
182,225,317,
183,227,318,164.0
184,228,320,
185,230,322,
186,232,324,165.0
187,233,326,
188,233,328,166.0
189,235,330,
190,235,332,
191,236,334,
192,236,336,
193,237,337,
194,239,337,171.0
195,241,338,
196,241,340,
197,242,341,
198,244,343,
199,246,345,
200,248,347,
201,249,349,
202,251,351,
203,252,353,
204,252,354,
205,253,355,
206,255,357,
207,256,359,
208,257,360,
209,257,362,
210,258,364,
211,258,366,
212,259,368,
213,260,370,
214,261,372,
215,261,374,178.0
216,263,375,180.0
217,264,377,182.0
218,265,379,
219,266,380,
220,268,381,185.0
221,269,381,
222,270,382,
223,271,384,
224,272,385,
225,273,387,
226,274,389,
227,274,391,
228,274,393,190.0
229,274,395,
230,275,397,
231,277,398,
232,277,399,
233,278,400,
234,279,402,
235,280,404,
236,281,406,
237,281,408,
238,282,409,
239,283,410,197.0
240,283,410,
241,283,411,
242,283,412,
243,285,414,
244,286,415,
245,286,417,
246,288,419,203.0
247,289,420,
248,289,420,
249,290,422,205.0
250,290,423,
251,292,425,
252,293,427,
253,293,428,
254,293,429,
255,294,431,
256,294,432,
257,295,433,
258,297,435,
259,297,437,
260,298,439,
261,299,441,216.0
262,300,443,
263,301,444,217.0
264,302,446,218.0
265,302,447,
266,303,448,
267,305,450,
268,306,452,
269,306,454,
270,306,456,
271,307,458,223.0
272,308,460,
273,309,462,
274,310,463,
275,311,464,
276,312,465,
277,312,467,
278,312,469,
279,313,470,
280,313,471,
281,314,472,
282,316,473,
283,316,474,
284,318,475,
285,320,477,
286,322,478,
287,323,480,
288,324,482,
289,326,484,
290,327,486,
291,328,488,
292,328,490,
293,329,491,
294,331,493,
295,331,494,
296,331,496,
297,331,498,235.0
298,333,500,
299,334,502,
300,335,503,
301,336,505,
302,337,507,
303,339,508,
304,341,509,
305,342,510,
306,342,510,
307,343,512,
308,344,513,
309,346,514,242.0
310,347,515,
311,349,516,
312,351,517,
313,351,518,
314,352,520,
315,353,522,
316,353,524,
317,354,526,
318,354,527,
319,356,529,250.0
320,357,530,
321,357,532,
322,357,534,
323,358,535,
324,359,537,254.0
325,360,537,256.0
326,361,539,
327,361,541,
328,363,542,259.0
329,363,544,
330,365,546,260.0
331,365,547,262.0
332,366,549,
333,368,550,
334,370,551,
335,371,552,
336,372,554,
337,373,556,268.0
338,374,558,
339,375,559,269.0
340,376,561,
341,376,563,
342,378,563,
343,378,565,274.0
344,378,567,
345,378,569,
346,378,571,
347,378,571,276.0
348,379,572,
349,381,573,
350,382,574,
351,383,576,
352,383,578,
353,383,579,280.0
354,385,580,281.0
355,386,582,283.0
356,387,583,285.0
357,388,583,286.0
358,390,585,
359,390,586,
360,390,586,
361,390,588,288.0
362,390,590,290.0
363,391,592,
364,393,593,
365,394,593,
366,395,595,
367,395,595,
368,397,595,
369,399,595,298.0
370,399,596,299.0
371,400,598,
372,402,599,
373,402,600,301.0
374,403,602,
375,404,603,
376,404,605,
377,405,605,
378,405,607,
379,405,609,
380,407,609,
381,409,609,
382,410,610,
383,410,611,
384,410,613,
385,412,614,
386,412,615,312.0
387,413,617,
388,414,617,
389,414,618,
390,415,620,
391,417,621,
392,419,622,316.0
393,420,623,
394,421,625,
395,422,627,
396,423,627,317.0
397,424,629,
398,425,629,
399,427,630,
400,428,630,
401,429,632,
402,429,633,
403,431,634,
404,432,636,
405,432,637,
406,433,638,
407,433,640,
408,434,641,
409,434,643,
410,435,645,
411,436,647,
412,437,649,
413,438,650,
414,439,651,
415,439,652,
416,439,654,
417,439,656,
418,440,656,
419,442,657,
420,443,658,322.0
421,445,660,
422,446,662,
423,446,662,324.0
424,446,663,
425,446,665,
426,446,667,
