num_edges,num_nodes_predict,num_nodes_random,num_nodes_real
1,2,2,2.0
2,4,4,4.0
3,6,5,5.0
4,7,7,7.0
5,9,9,8.0
6,10,11,9.0
7,12,13,10.0
8,14,15,10.0
9,16,17,11.0
10,17,19,
11,18,21,12.0
12,19,23,
13,20,25,
14,22,27,
15,22,28,
16,22,30,14.0
17,22,32,15.0
18,22,34,17.0
19,23,35,19.0
20,24,36,20.0
21,26,38,21.0
22,28,39,22.0
23,29,40,23.0
24,31,41,
25,32,41,26.0
26,34,41,27.0
27,34,42,28.0
28,35,44,29.0
29,36,45,
30,37,46,30.0
31,37,46,31.0
32,39,47,33.0
33,39,48,
34,39,49,34.0
35,40,51,36.0
36,41,52,37.0
37,43,52,38.0
38,43,54,39.0
39,43,54,
40,44,56,
41,45,57,41.0
42,46,58,43.0
43,46,59,44.0
44,47,60,45.0
45,48,61,46.0
46,49,62,47.0
47,50,63,
48,52,63,
49,53,64,48.0
50,53,65,
51,54,67,49.0
52,55,68,
53,55,70,
54,55,72,
55,55,73,
56,55,74,51.0
57,57,75,
58,57,76,52.0
59,57,78,53.0
60,57,80,
61,57,82,54.0
62,57,82,
63,57,84,54.0
64,57,84,
65,59,85,
66,59,86,56.0
67,60,87,57.0
68,61,88,
69,62,89,60.0
70,63,89,61.0
71,63,90,
72,64,91,
73,65,92,62.0
74,66,93,63.0
75,67,93,65.0
76,68,93,
77,70,94,
78,70,94,68.0
79,71,94,69.0
80,71,95,70.0
81,72,95,
82,72,95,
83,73,96,
84,73,96,
85,73,97,
86,73,97,74.0
87,73,98,
88,74,99,
89,76,100,
90,77,101,
91,77,102,74.0
92,78,103,75.0
93,79,103,
94,79,104,
95,79,104,
96,80,104,
97,80,104,
98,81,105,
99,82,106,
100,84,107,82.0
101,84,108,83.0
102,85,109,84.0
103,86,110,85.0
104,87,110,
105,88,110,
106,88,111,86.0
107,88,111,87.0
108,88,112,
109,88,112,
110,88,112,
111,88,113,
112,89,114,
113,90,114,89.0
114,90,115,
115,90,116,
116,90,116,90.0
117,90,117,92.0
118,91,119,
119,91,119,93.0
120,91,119,94.0
121,92,120,95.0
122,93,120,
123,94,120,
124,94,121,97.0
125,95,121,97.0
126,95,121,98.0
127,95,121,
128,95,122,99.0
129,96,122,99.0
130,96,122,
131,97,122,100.0
132,98,122,100.0
133,99,123,101.0
134,100,124,102.0
135,101,124,103.0
136,101,125,
137,102,125,
138,103,126,104.0
139,103,127,106.0
140,103,127,107.0
141,104,127,108.0
142,105,128,109.0
143,105,129,
144,106,129,110.0
145,106,130,110.0
146,107,131,111.0
147,108,131,112.0
148,109,132,
149,110,132,
150,110,133,
151,112,133,
152,113,134,
153,113,134,114.0
154,114,134,114.0
155,116,134,115.0
156,117,134,116.0
157,117,135,117.0
158,117,136,118.0
159,117,136,118.0
160,118,136,
161,119,137,
162,120,138,
163,120,138,
164,121,138,
165,121,138,120.0
166,122,139,121.0
167,122,139,122.0
168,123,139,123.0
169,124,139,124.0
170,124,139,124.0
171,124,139,125.0
172,125,140,
173,125,140,126.0
174,126,140,
175,126,141,126.0
176,126,142,
177,127,143,127.0
178,128,143,
179,129,144,
180,129,144,129.0
181,130,144,129.0
182,130,144,
183,131,144,130.0
184,132,144,131.0
185,133,144,132.0
186,134,144,132.0
187,135,144,
188,135,144,133.0
189,136,144,135.0
190,136,145,136.0
191,137,145,137.0
192,138,146,
193,139,147,138.0
194,140,147,139.0
195,141,148,140.0
196,141,148,
197,141,148,
198,142,148,
199,143,148,
200,144,149,
201,145,150,143.0
202,145,151,
203,146,151,
204,147,152,
205,147,152,
206,148,153,
207,149,154,145.0
208,150,154,
209,151,154,
210,151,154,146.0
211,152,155,
212,152,155,
213,152,155,148.0
214,153,156,149.0
215,154,156,
216,155,156,150.0
217,156,156,
218,157,157,
219,157,157,151.0
220,157,157,
221,158,157,
222,158,157,153.0
223,158,157,154.0
224,158,157,155.0
225,158,157,156.0
226,158,158,156.0
227,158,158,157.0
228,158,158,158.0
