num_edges,num_nodes_predict,num_nodes_random,num_nodes_real
1,2,2,
2,3,4,
3,3,6,
4,5,8,
5,6,9,
6,7,11,
7,8,13,
8,10,15,
9,11,17,
10,11,19,
11,11,20,
12,11,22,
13,12,24,
14,12,26,
15,14,28,
16,15,30,
17,15,32,
18,15,34,
19,15,36,
20,16,38,
21,16,40,
22,16,42,
23,17,44,
24,19,46,
25,19,48,
26,21,50,
27,21,52,
28,22,53,
29,22,54,
30,23,56,
31,24,58,
32,24,60,
33,25,61,
34,26,62,
35,27,63,
36,27,64,
37,27,66,
38,28,68,
39,28,70,
40,30,72,
41,32,74,
42,32,76,
43,32,78,
44,34,80,
45,36,81,
46,36,83,
47,37,84,
48,37,86,
49,38,88,
50,38,89,30.0
51,39,90,
52,41,92,
53,42,93,
54,44,95,
55,44,96,
56,44,97,
57,45,98,
58,45,100,
59,45,102,
60,45,104,
61,45,106,
62,46,107,
63,46,107,
64,47,108,
65,47,110,
66,47,111,
67,47,112,
68,47,113,
69,48,113,
70,48,115,
71,48,117,
72,50,119,
73,50,121,
74,50,123,
75,50,125,
76,50,127,
77,50,129,
78,50,130,
79,50,132,
80,52,132,
81,52,134,
82,52,135,
83,52,136,
84,53,137,
85,53,138,
86,55,139,
87,55,139,
88,55,141,
89,56,141,
90,58,143,
91,59,145,
92,60,145,
93,61,145,
94,62,145,
95,63,147,
96,63,149,
97,63,151,
98,64,152,
99,65,154,
100,66,156,
101,67,157,
102,68,157,
103,68,157,
104,68,158,
105,68,160,
106,69,161,
107,69,162,
108,69,163,
109,69,163,
110,69,164,
111,70,166,
112,70,167,
113,70,168,
114,72,170,
115,72,170,
116,72,170,
117,72,170,
118,72,171,
119,72,173,
120,73,175,
121,73,177,
122,73,178,
123,73,180,
124,74,181,
125,74,181,
126,75,182,
127,75,183,
128,75,183,
129,75,185,
130,75,185,
131,76,186,
132,76,187,
133,76,188,
134,76,188,
135,76,188,
136,76,190,
137,76,192,
138,76,194,
139,77,194,
140,79,195,
141,79,197,
142,79,197,
143,79,198,
144,79,199,
145,79,199,
146,79,200,
147,81,200,
148,82,201,
149,83,202,
150,84,202,
151,84,202,
152,86,203,
153,87,204,
154,87,204,
155,88,206,
